KEY,en,notes,sp,fr,de,it,pt-br
MUTATION_BODY_324_DESC,Gain +1 range when you get a kill.,,"Отримуйте +1 до дальностi, коли вбиваêте ворога.",Portée +1&nbsp;quand vous tuez un ennemi.,"Erhalte +1&nbsp;Reichweite, wenn du etwas tötest.",Ottieni +1 al raggio d'azione quando uccidi qualcuno.,Obtenha +1 de alcance ao realizar uma baixa.
MUTATION_BODY_703_DESC,Start each battle with Bruise 1.,,Починайте кожну битву з ефектом «Синець 1».,Vous débutez chaque combat avec Contusion +1.,Beginne jeden Kampf mit Beulen&nbsp;1.,Inizi ogni battaglia con Livido 1.,Inicie cada batalha com contusão 1.
MUTATION_BODY_750_DESC,+1 Thorns. ,,+1 до Шипiв.,Épines +1. ,+1&nbsp;Dornen. ,+1 Spine.,+1 de espinhos.
MUTATION_BODY_758_DESC,Start with +1 Bonus Attack.,,Починаêте з +1 до бонусноï атаки.,Vous débutez avec Attaque bonus +1.,Beginne jeden Kampf mit +1&nbsp;Bonusangriff.,Inizi con +1 Attacco Bonus.,Inicie com +1 de bônus de ataque.
//ears,,,,,,,
MUTATION_EARS_302_DESC,+1 Health and Mana Regeneration while wet.,,"+1 до вiдновлення здоров'я та мани, коли ви мокрi.","Mouillé, PV +1&nbsp;et Régénération de mana +1.","+1&nbsp;Lebens- und Manaregeneration, während du nass bist.",+1 a Rigenerazione Salute e Mana quando ti bagni.,+1 de regeneração de saúde e mana ao se molhar.
MUTATION_EARS_303_DESC,Adds +1 Knockback to your basic attack if it's melee.,,"Додаê +1 вiдштовхування до вашоï базовоï атаки, якщо вона ближнього бою.","Si votre attaque de base est au corps-à-corps, elle bénéficie de Recul +1.","Fügt deinem Grundangriff +1&nbsp;Rückstoß zu, wenn es ein Nahkampfangriff ist.",Aggiunge +1 Contraccolpo al tuo attacco base se è corpo a corpo.,Adiciona +1 de empurrão ao seu ataque básico se ele for do tipo corpo-a-corpo.
MUTATION_EARS_309_DESC,Adds +1 Bleed to your basic attack.,,Додаê +1 кровотечi до вашоï базовоï атаки.,Votre attaque de base bénéficie de Saignement +1.,Fügt deinem Grundangriff +1&nbsp;Blutung zu.,Aggiunge +1 Sanguinamento al tuo attacco base.,Adiciona +1 de sangramento ao seu ataque básico.
MUTATION_EARS_313_DESC,Adds +1 Knockback to your basic attack if it's melee.,,"Додаê +1 вiдштовхування до вашоï базовоï атаки, якщо вона ближнього бою.","Si votre attaque de base est au corps-à-corps, elle bénéficie de Recul +1.","Fügt deinem Grundangriff +1&nbsp;Rückstoß zu, wenn es ein Nahkampfangriff ist.",Aggiunge +1 Contraccolpo al tuo attacco base se è corpo a corpo.,Adiciona +1 de empurrão ao seu ataque básico se ele for do tipo corpo-a-corpo.
MUTATION_EARS_314_DESC,Thorns 1. Your basic attack inflicts Bleed if it's melee.,,"Шипи 1. Твоя базова атака накладаê Кровотечу, якщо це атака в ближньому бою.","Épines 1. Si votre attaque de base est au corps-à-corps, elle inflige Saignement.","Dornen&nbsp;1. Dein Grundangriff verursacht Blutung, wenn es ein Nahkampfangriff ist.",Spine 1. Il tuo attacco base infligge Sanguinamento se è corpo a corpo.,Espinhos 1. Seu ataque básico aplica sangramento se for do tipo corpo-a-corpo.
MUTATION_EARS_315_DESC,50% chance to spawn a Charmed Fly each turn. Start with Poison 1.,,50% шанс заспавнити Зачаровану муху кожного ходу. Починаêш з Отруêння 1.,50&nbsp;% de chances d'invoquer une mouche envoûtée à chaque tour. Vous débutez avec Poison +1.,"Je Zug 50&nbsp;% Wahrscheinlichkeit, dass eine freundliche Fliege erscheint. Beginne jeden Kampf mit Gift&nbsp;1.",50% di probabilità di generare una Mosca Ammaliata ogni turno. Inizi con Veleno 1.,50% de chance de gerar uma mosca enfeitiçada a cada turno. Inicie com veneno 1.
MUTATION_EARS_316_DESC,You can see hidden things. 5% dodge chance.,,Ти бачиш прихованi речi. 5% шанс ухилення.,Vous pouvez voir des choses cachées. Chances d'esquive +5&nbsp;%.,Du kannst versteckte Dinge sehen. 5&nbsp;% Ausweichchance.,Puoi vedere oggetti nascosti. 5% di probabilità di schivare.,Você pode ver coisas ocultas. 5% de chance de esquiva.
MUTATION_EARS_317_DESC,"Whenever you down a unit, you have a 10% chance to reanimate that unit with 50% HP.",,"Коли ти добиваêш юнiта, у тебе ê 10% шанс реанiмувати його з 50% здоров'я.","Quand vous tuez une unité, vous avez 10&nbsp;% de chances de la réanimer avec 50&nbsp;% de ses PV.","Immer, wenn eine Einheit durch dich in Ohnmacht fällt, besteht eine 10%ige Wahrscheinlichkeit, dass du diese Einheit mit 50&nbsp;% LP wiederbelebst.","Ogni volta che mandi KO un'unità, hai un 10% di probabilità di rianimarla con il 50% di PS.","Sempre que você derrubar uma unidade, obtenha uma chance de 10% de reanimá-la com 50% de PV."
MUTATION_EARS_318_DESC,You have Brace 1 while wet.,,"Ти маêш Брейс 1, коли мокрий.","Mouillé, vous bénéficiez de Garde +1.","Während du nass bist, erhältst du Wappnen&nbsp;1.",Hai Guardia 1 quando ti bagni.,Você possui preparação 1 ao se molhar.
MUTATION_EARS_319_DESC,Gain +1 Charge when you take damage.,,"Отримуêш +1 Заряд, коли отримуêш шкоду.",Charge +1&nbsp;quand vous subissez des dégâts.,"Erhalte +1&nbsp;Ladung, wenn du Schaden erleidest.",Ottieni +1 Carica quando subisci danno.,Obtenha +1 carga ao sofrer dano.
MUTATION_EARS_320_DESC,+1 Kinetic Spikes.,,+1 до Кiнетичних шипiв.,Pics cinétiques +1.,+1&nbsp;Kinetiknadeln.,+1 Spuntoni Cinetici.,+1 de espinhos cinéticos.
MUTATION_EARS_321_DESC,Units that contact you get knocked back 1 tile.,,"Юнiти, якi торкаються тебе, вiдштовхуються на 1 клiтинку.",Les unités qui vous touchent subissent Recul +1.,"Einheiten, die dich berühren, werden 1&nbsp;Feld zurückgestoßen.",Le unità che ti toccano vengono respinte indietro di 1 casella.,Unidades que entram em contato com você são empurradas 1 espaço para trás.
MUTATION_EARS_323_DESC,Gain 1 HP when your basic attack deals damage.,,"Отримуêш 1 HP, коли твоя базова атака завдаê шкоди.",PV +1&nbsp;quand votre attaque de base inflige des dégâts.,"Erhalte 1&nbsp;LP, wenn dein Grundangriff Schaden verursacht.",Ottieni 1 PS quando il tuo attacco base infligge danno.,Obtenha 1 PV sempre que seu ataque básico causar dano.
MUTATION_EARS_325_DESC,"If you're wet, gain +1 Charge and +1 [img:shield] at the end of your turn.",,"Якщо ти мокрий, ти отримуêш +1 Заряд i +1 [img:shield] в кiнцi свого ходу.","Mouillé, Charge +1&nbsp;et [img:shield] +1&nbsp;à la fin de votre tour.","Wenn du nass bist, erhältst du am Ende deines Zuges +1&nbsp;Ladung und +1&nbsp;[img:shield].","Se ti bagni, ottieni +1 Carica e +1 allo [img:shield] alla fine del tuo turno.","Se você se molhar, obtenha +1 carga e +1 de [img:shield] no final do seu turno."
MUTATION_EARS_326_DESC,5% chance to spawn a Maggot familiar each turn.,,5% шанс заспавнити личинку-спутника кожного ходу.,5&nbsp;% de chances d'invoquer un asticot de compagnie à chaque tour.,"Je Zug 5&nbsp;% Wahrscheinlichkeit, dass ein freundlicher Madenbegleiter erscheint.",5% di probabilità di generare un famiglio Larva ogni turno.,5% de chance de gerar um familiar verme a cada turno.
MUTATION_EARS_327_DESC,An extra food pickup will spawn in each battle.,,У кожнiй битвi заспавниться додатковий предмет ïжi.,De la nourriture bonus apparaît à chaque combat.,In jedem Kampf erscheint ein zusätzlicher Essensgegenstand.,Verrà generato un raccoglibile Cibo aggiuntivo in ogni battaglia.,Uma comida coletável extra é gerado em cada batalha.
MUTATION_EARS_328_DESC,5% chance to Petrify on damage and when hit.,,5% шанс викликати Окаменiння при нанесеннi шкоди та при отриманнi удару.,5&nbsp;% de chances d'infliger Pétrification quand vous infligez ou subissez des dégâts.,"5%ige Wahrscheinlichkeit zu versteinern, wenn du Schaden verursachst oder erleidest.",5% di probabilità di infliggere Pietrificazione quando infliggi danno o ti colpiscono.,5% de chance de petrificar ao causar ou sofrer dano.
MUTATION_EARS_329_DESC,Your basic attack leaves water tiles.,,Твоя базова атака залишаê водянi клiтинки.,Votre attaque de base crée des cases d'eau.,Dein Grundangriff hinterlässt Wasserfelder.,Il tuo attacco base lascia delle caselle d'acqua.,Seu ataque básico deixa espaços de água.
MUTATION_EARS_330_DESC,Thorns 1. 10% chance to inflict Immobile on units that contact you.,,"Шипи 1. 10% шанс накласти стан 'Нерухомий' на юнiтiв, якi торкаються тебе.",Épines +1. 10&nbsp;% de chances d'infliger Immobilisation aux unités qui vous touchent.,"Dornen&nbsp;1. 10%ige Wahrscheinlichkeit, Einheiten, die dich berühren, Unbeweglich zu machen.",Spine 1. 10% di probabilità di infliggere Immobilizzazione alle unità che ti toccano.,Espinhos 1. 10% de chance de aplicar imobilidade em unidades que entrarem em contato com você.
MUTATION_EARS_331_DESC,Your basic attack has +1 Knockback.,,Базова атака маê +1 вiдштовхування.,Votre attaque de base bénéficie de Recul +1.,Dein Grundangriff hat +1&nbsp;Rückstoß.,Il tuo attacco base ha +1 Contraccolpo.,Seu ataque básico possui +1 de empurrão.
MUTATION_EARS_332_DESC,Brace 1.,,Брейс 1.,Garde +1.,Wappnen&nbsp;1.,Guardia 1.,Preparação 1.
MUTATION_EARS_334_DESC,Spawn 1-3 more coins/scrap around the map on random tiles at the start of each battle.,,На початку кожноï битви на випадкових клiтинках карти заспавниться ще 1–3 монети/скрап.,Fait apparaître 1&nbsp;à 3&nbsp;pièces/ferrailles sur des cases aléatoires au début de chaque combat.,Lasse am Anfang jeden Kampfes 1&nbsp;– 3 zusätzliche Münzen/Schrott auf zufälligen Feldern erscheinen.,Generi 1-3 monete/rottami in più in giro per la mappa su caselle casuali all'inizio di ogni battaglia.,Gera 1-3 moedas/lixos a mais em espaços aleatórios do mapa no início de cada batalha.
MUTATION_EARS_335_DESC,Start with Bleed 1 and a bonus attack.,,Починаêш з Кровотечi 1 та бонусноï атаки.,Vous débutez avec Saignement +1&nbsp;et une attaque bonus.,Beginne jeden Kampf mit Blutung&nbsp;1 und einem Bonusangriff.,Inizi con Sanguinamento 1 e un attacco bonus.,Inicie com sangramento 1 e um ataque bônus.
MUTATION_EARS_336_DESC,You gain 3 mana at the end of your turn if you didn't use your movement action.,,"Ти отримуêш 3 мани в кiнцi свого ходу, якщо не використав дiю руху.",Vous confère 3&nbsp;mana à la fin de votre tour si vous n'avez pas utilisé votre action de déplacement.,"Wenn du deine Bewegungsaktion nicht genutzt hast, erhältst du am Ende deines Zuges 3&nbsp;Mana.",Ottieni 3 mana alla fine del tuo turno se non hai usato la tua azione di movimento.,Você obtém 3 de mana no final de seu turno se não utilizar sua ação de movimento.
MUTATION_EARS_337_DESC,Your basic attack inflicts Burn 1.,,Ваша базова атака накладаê Опiк 1.,Votre attaque de base inflige Brûlure +1.,Dein Grundangriff verursacht Verbrennung&nbsp;1.,Il tuo attacco base infligge Bruciatura 1.,Seu ataque básico aplica queimadura 1.
MUTATION_EARS_338_DESC,Your basic attack has a 15% chance to inflict Freeze.,,Ваша базова атака маê 15% шанс завдати Замороження.,Votre attaque de base a 15&nbsp;% de chances d'infliger Gel.,"Dein Grundangriff hat eine 15%ige Wahrscheinlichkeit, Frost zu verursachen.",Il tuo attacco base ha un 15% di probabilità di infliggere Congelamento.,Seu ataque básico possui 15% de chance de aplicar congelamento.
MUTATION_EARS_339_DESC,You have electric immunity.,,У вас iмунiтет до електрики.,Vous bénéficiez d'Immunité à l'électricité.,Du bist immun gegen Elektrizität.,Hai immunità all'elettricità.,Você possui imunidade elétrica.
MUTATION_EARS_341_DESC,10% chance to backflip when targeted.,,"10% шанс зробити сальто назад, коли по вас цiлиться.",10&nbsp;% de chances d'effectuer un salto arrière quand vous êtes la cible d'une attaque.,"10&nbsp;% Wahrscheinlichkeit, einen Rückwärtssalto auszuführen, wenn ein Gegner auf dich zielt.",10% di probabilità di fare un Salto Mortale all'Indietro quando ti prendono di mira.,10% de chance de realizar um mortal para trás ao entrar na mira de alguém.
MUTATION_EARS_342_DESC,20% chance to spawn a Charmed Flea when damaged.,,"20% шанс заспавнити Зачаровану Блоху, коли вам завдають шкоду.","Quand vous subissez des dégâts, 20&nbsp;% de chances qu'une puce envoûtée soit invoquée.","20&nbsp;% Wahrscheinlichkeit, dass eine freundliche Fliege erscheint, wenn du Schaden erleidest.",20% di probabilità di generare una Pulce Ammaliata quando subisci danno.,20% de chance de gerar uma pulga enfeitiçada ao sofrer dano.
MUTATION_EARS_343_DESC,Thorns 1.,,Шипи 1.,Épines +1.,Dornen&nbsp;1.,Spine 1.,Espinhos 1.
MUTATION_EARS_344_DESC,Spawn a Charmed Kitten familiar when you get downed.,,"Заспавнити фамiльяра «Зачароване кошеня», коли ви падаêте.","Quand vous êtes mis K.O., un chaton envoûté de compagnie est invoqué.","Lasse einen freundlichen Katzenbegleiter erscheinen, wenn du in Ohnmacht fällst.",Generi un famiglio Gattino Ammaliato quando vai KO.,Gere um gatinho enfeitiçado ao ficar inconsciente.
MUTATION_EARS_345_DESC,Units that contact or attack you have a 15% chance to get Charmed.,,"Юнiти, що контактують з вами або атакують вас, мають 15% шанс стати Зачарованими.",Les unités qui vous touchent ou vous attaquent ont 15&nbsp;% de chances de subir Envoûtement.,"Einheiten, die dich berühren oder angreifen, erleiden mit einer 15%igen Wahrscheinlichkeit Charme.",Le unità che ti toccano o ti attaccano hanno il 15% di probabilità di essere Ammaliate.,Unidades que entrarem em contato com você ou lhe atacarem possuem uma chance de 15% de serem enfeitiçadas.
MUTATION_EARS_750_DESC,Your movement action is a jump.,,Ваша дiя руху — стрибок.,Votre action de déplacement devient Saut.,Deine Bewegungsaktion wird zu einem Sprung.,La tua azione di movimento è un salto.,Sua ação de movimento é um salto.
MUTATION_EARS_751_DESC,+10% dodge chance.,,+10% шанс ухилення.,Chances d'esquive +10&nbsp;%.,+10&nbsp;% Ausweichchance.,+10% di probabilità di schivata.,+10% de chance de esquiva.
MUTATION_EARS_752_DESC,You have +2 Damage while wet.,,"У вас +2 до шкоди, коли ви мокрi.","Mouillé, Dégâts +2.","Während du nass bist, erhältst du +2&nbsp;Schaden.",Hai +2 al Danno quando ti bagni.,Você possui +2 de dano ao se molhar.
MUTATION_EARS_753_DESC,+1 Knockback damage. Your basic attack has +1 Knockback.,,+1 шкода вiд вiдкидання. Ваша базова атака маê +1 до вiдкидання.,Dégâts de recul +1. Votre attaque de base bénéficie de Recul +1.,+1&nbsp;Rückstoßschaden. Dein Grundangriff hat +1&nbsp;Rückstoß.,+1 al danno da Contraccolpo. Il tuo attacco base ha +1 Contraccolpo.,+1 de dano de empurrão. Seu ataque básico possui +1 de empurrão.
MUTATION_EARS_754_DESC,Electric damage you deal is increased by 1.,,"Електрична шкода, яку ви завдаêте, збiльшуêться на 1.",Dégâts électriques infligés +1.,"Elektrischer Schaden, den du verursachst, ist um 1 erhöht.",Il danno elettrico che infliggi aumenta di 1.,O dano elétrico causado por você é aumentado em 1.
MUTATION_EARS_755_DESC,Gain +1 Charge every time you cast a spell.,,"Отримуêте +1 Заряд щоразу, коли ви застосовуêте заклинання.",Charge +1&nbsp;chaque fois que vous lancez un sort.,"Erhalte jedes Mal, wenn du einen Zauber wirkst, +1&nbsp;Ladung.",Ottieni +1 Carica ogni volta che lanci un incantesimo.,Ganhe +1 carga toda vez que lançar um encantamento.
MUTATION_EARS_900_DESC,+10% dodge chance.,,+10% шанс ухилення.,Chances d'esquive +10&nbsp;%.,+10&nbsp;% Ausweichchance.,+10% di probabilità di schivata.,+10% de chance de esquiva.
MUTATION_EARS_1500_DESC,+2% dodge chance,,+2% шанс ухилення.,Chances d'esquive +2&nbsp;%.,+2&nbsp;% Ausweichchance.,+2% di probabilità di schivata.,+2% de chance de esquiva.
MUTATION_EARS_703_DESC,Start each battle with Confusion 2.,,Починаêте кожну битву зi Сплутанiстю 2.,Vous débutez chaque combat avec Confusion +2.,Beginne jeden Kampf mit Verwirrung&nbsp;2.,Inizi ogni battaglia con Confusione 2.,Inicie cada batalha com confusão 2.
MUTATION_EARS_704_DESC,Start each battle with Immobile 1.,,Починаêте кожну битву з Нерухомiстю 1.,Vous débutez chaque combat avec Immobilisation +1.,Beginne jeden Kampf mit Unbeweglich&nbsp;1.,Inizi ogni battaglia con Immobilizzazione 1.,Inicie cada batalha com imobilidade 1.
//eyebrows,,,,,,,
MUTATION_EYEBROWS_301_DESC,You have a 10% chance to inflict Confusion on units who contact or attack you.,,"У вас ê 10% шанс завдати Сплутаностi юнiтам, якi контактують з вами або атакують вас.",10&nbsp;% de chances d'infliger Confusion aux unités qui vous touchent ou vous attaquent.,"Einheiten, die dich berühren oder angreifen, erleiden mit einer 10%igen Wahrscheinlichkeit Verwirrung.",Hai un 10% di probabilità di infliggere Confusione alle unità che ti toccano o ti attaccano.,10% de chance de aplicar confusão em unidades que entram em contato com você ou lhe atacam.
MUTATION_EYEBROWS_306_DESC,You have a 5% chance to inflict Fear on units who contact or attack you.,,"У вас ê 5% шанс завдати Страху юнiтам, якi контактують з вами або атакують вас.",5&nbsp;% de chances d'infliger Peur aux unités qui vous touchent ou vous attaquent.,"Einheiten, die dich berühren oder angreifen, erleiden mit einer 5%igen Wahrscheinlichkeit Angst.",Hai un 5% di probabilità di infliggere Paura alle unità che ti toccano o ti attaccano.,Você possui 5% de chance de aplicar medo em unidades que entram em contato com você ou lhe atacam.
MUTATION_EYEBROWS_307_DESC,+1 Mana Regeneration. +1 Health Regeneration.,,+1 до вiдновлення мани. +1 до вiдновлення здоров'я.,"Régénération de mana +1, Régénération de PV +1.",+1&nbsp;Manaregeneration. +1&nbsp;Lebensregeneration.,+1 Rigenerazione Mana. +1 Rigenerazione Salute.,+1 de regeneração de mana. +1 de regeneração de saúde.
MUTATION_EYEBROWS_309_DESC,+1 Thorns.,,+1 до шипiв.,Épines +1.,+1&nbsp;Dornen.,+1 Spine.,+1 de espinhos.
MUTATION_EYEBROWS_310_DESC,+1 Range.,,+1 до дальностi.,Portée +1.,+1&nbsp;Reichweite.,+1 al raggio d'azione.,+1 de alcance.
MUTATION_EYEBROWS_311_DESC,"When you cast your third spell each turn, heal 2.",,"Коли ви застосовуêте третê заклинання в ходi, вiдновiть 2 здоров'я.","Après avoir lancé votre 3e sort chaque tour, vous récupérez 2&nbsp;PV.","Heile dich um 2&nbsp;LP, wenn du deinen dritten Zauber in einem Zug wirkst.","Quando lanci il tuo terzo incantesimo di ogni turno, recuperi 2 PS.",Cure 2 PV ao lançar seu terceiro encantamento em cada turno.
MUTATION_EYEBROWS_313_DESC,Spawn 1-2 extra pickups in each battle.,,Заспавнити 1–2 додатковi предмети у кожнiй битвi.,Fait apparaître 1&nbsp;à 2&nbsp;ressources bonus à chaque combat.,Lasse in jedem Kampf 1&nbsp;– 2 zusätzliche Gegenstände erscheinen.,Generi 1-2 oggetti aggiuntivi in ogni battaglia.,Gera 1-2 coletáveis adicionais em cada batalha.
MUTATION_EYEBROWS_314_DESC,"When an allied cat dies, gain +2 Damage.",,"Коли помираê союзна кiшка, отримуêте +2 до шкоди.",Dégâts +2&nbsp;quand un chat allié meurt.,"Erhalte +2&nbsp;Schaden, wenn eine verbündete Katze stirbt.","Quando un gatto alleato muore, ottieni +2 al Danno.","Quanto um gato aliado morrer, obtenha +2 de dano."
MUTATION_EYEBROWS_315_DESC,You can reroll your options when you level up.,,"Ви можете перебрати своï варiанти, коли пiдвищуêте рiвень.",Vous pouvez tirer de nouvelles options quand vous montez de niveau.,"Du kannst deine Auswahlmöglichkeiten neu generieren, wenn du ein Level aufsteigst.",Puoi modificare le tue opzioni quando sali di livello.,Você pode recombinar suas opções ao subir de nível.
MUTATION_EYEBROWS_900_DESC,+5% dodge chance. Your basic attack has a 1% chance to inflict Freeze.,,+5% шанс ухилення. Ваша базова атака маê 1% шанс накласти Замороження.,Chances d'esquive +5&nbsp;%. Votre attaque de base a 1&nbsp;% de chances d'infliger Gel.,"+5&nbsp;% Ausweichchance. Dein Grundangriff hat eine 1%ige Wahrscheinlichkeit, Frost zu verursachen.",+5% di probabilità di schivata. Il tuo attacco base ha un 1% di probabilità di infliggere Congelamento.,+5% de chance de esquiva. Seu ataque básico possui 1% de chance de aplicar congelamento.
//eyes,,,,,,,
MUTATION_EYES_300_DESC,Your basic attack has a 10% chance to inflict Fear.,,Ваша базова атака маê 10% шанс накласти Страх.,Votre attaque de base a +10&nbsp;% de chances d'infliger Peur.,"Dein Grundangriff hat eine 10%ige Wahrscheinlichkeit, Angst zu verursachen.",Il tuo attacco base ha un 10% di probabilità di infliggere Paura.,Seu ataque básico possui 10% de chance de aplicar medo.
MUTATION_EYES_302_DESC,+1 Thorns.,,+1 до шипiв.,Épines +1.,+1&nbsp;Dornen.,+1 Spine.,+1 de espinhos.
MUTATION_EYES_304_DESC,Take your turn later.,,Ви ходите пiзнiше.,Vous jouez votre tour plus tard.,Du bist später am Zug.,Effettui il tuo turno più tardi.,Use seu turno mais tarde.
MUTATION_EYES_306_DESC,Your basic attack has a 10% chance to inflict Confusion 3.,,Ваша базова атака маê 10% шанс накласти Сплутанiсть 3.,Votre attaque de base a 10&nbsp;% de chances d'infliger Confusion +3.,"Dein Grundangriff hat eine 10%ige Wahrscheinlichkeit, Verwirrung&nbsp;3 zu verursachen.",Il tuo attacco base ha un 10% di probabilità di infliggere Confusione 3.,Seu ataque básico possui 10% de chance de aplicar confusão 3.
MUTATION_EYES_307_DESC,Gain 1 mana when anything dies.,,"Отримуйте 1 ману щоразу, коли щось помираê.",Mana +1&nbsp;quand quoi que ce soit meurt.,"Erhalte 1&nbsp;Mana, wenn eine Einheit stirbt.",Ottieni 1 mana quando qualcosa muore.,Obtenha 1 de mana quando qualquer coisa morrer.
MUTATION_EYES_308_DESC,+5% dodge chance.,,+5% шанс ухилення.,Chances d'esquive +5&nbsp;%.,+5&nbsp;% Ausweichchance.,+5% di probabilità di schivata.,+2% de chance de esquiva.
MUTATION_EYES_309_DESC,+2 corpse health.,,+2 до здоров'я трупа.,PV de cadavre +2.,+2&nbsp;Leichenlebenspunkte.,+2 salute cadavere.,+2 de saúde de cadáveres.
MUTATION_EYES_310_DESC,+1 Health Regeneration,,+1 до вiдновлення здоров'я,Régénération de PV +1.,+1&nbsp;Lebensregeneration.,+1 Rigenerazione Salute.,+1 de regeneração de saúde.
MUTATION_EYES_311_DESC,You do not take extra damage from backstabs.,,Ви не отримуêте додатковоï шкоди вiд ударiв у спину.,Vous ne subissez plus les dégâts bonus des attaques sournoises.,Du erleidest keinen zusätzlichen Schaden von Angriffen von hinten.,Non subisci danno aggiuntivo dai colpi alle spalle.,Você não sofre dano adicional de punhaladas.
MUTATION_EYES_312_DESC,+1 Brace.,,+1 до Брейсу.,Garde +1.,+1&nbsp;Wappnen.,+1 alla Guardia.,+1 de preparação.
MUTATION_EYES_314_DESC,"When you are downed, spawn 3 Flies. +2 corpse health.",,"Коли ви нокаутованi, заспавнюються 3 мухи. +2 до здоров'я трупа.","K.O., 3&nbsp;mouches sont invoquées. PV de cadavre +2.","Lasse 3&nbsp;Fliegen erscheinen, wenn du in Ohnmacht fällst. +2&nbsp;Leichenlebenspunkte.","Quando sei a terra, generi 3 Mosche. +2 salute cadavere.","Ao ficar inconsciente, gere 3 moscas. +2 de saúde de cadáveres."
MUTATION_EYES_315_DESC,+1 Kinetic Spikes.,,+1 до кiнетичних шипiв.,Pics cinétiques +1.,+1&nbsp;Kinetiknadeln.,+1 Spuntoni Cinetici.,+1 de espinhos cinéticos.
MUTATION_EYES_316_DESC,15% chance to counter attack with Chain Lightning when you get hit.,,"15% шанс контратакувати Ланцюговою Блискавкою, коли вас вдарили.","Touché, vous avez 15&nbsp;% de chances de contre-attaquer avec Éclair en chaîne.","15%ige Wahrscheinlichkeit, einen Konter mit einem Kettenblitz auszulösen, wenn du getroffen wirst.",15% di probabilità di contrattaccare con Catena di Fulmini quando subisci un colpo.,15% de contra-atacar com eletricidade encadeada ao sofrer golpes.
