KEY,en,notes,sp,fr,de,it,pt-br
WEATHER_ACIDRAIN_NAME,Acid Rain,,Кислотний дощ,Pluie acide,Säureregen,Pioggia Acida,Chuva ácida
WEATHER_ACIDRAIN_DESC,"At the end of each round, damages everything by 2 with a chance to lower a random stat as well.",,Наприкiнцi кожного раунду завдаê всiм по 2 шкоди та маê шанс також знизити випадкову характеристику.,"À la fin de chaque manche, inflige 2 points de dégât partout avec une chance de réduire une stat aléatoire.",Am Ende jeder Runde erleidet jede Einheit 2 Schaden. Außerdem kann ein zufälliges Attribut sinken.,"Alla fine di ogni round, infligge 2 di danno a tutto e ha anche una probabilità di abbassare una statistica casuale.","No final de cada rodada, causa 2 de dano a tudo com uma chance de diminuir um atributo aleatório."
WEATHER_METEORS_NAME,Meteor Shower,,Метеоритний дощ,Pluie de météorites,Meteorschauer,Pioggia di Meteore,Chuva de meteoros
WEATHER_METEORS_DESC,After each turn there's a chance for a flaming meteor to fall onto a random tile.,,"Пiсля кожного ходу ê шанс, що палаючий метеор впаде на випадкову клiтинку.","Après chaque tour, une météorite en flammes risque de tomber sur une case aléatoire.","Nach jedem Zug besteht eine gewisse Wahrscheinlichkeit, dass ein brennender Meteorit auf ein zufälliges Feld fällt.",Dopo ogni turno c'è una probabilità che una meteora infuocata cada su una casella casuale.,"Após cada turno, há uma chance de um meteoro flamejante cair em um espaço aleatório."
WEATHER_THUNDERSTORM_NAME,Thunderstorm,,Гроза,Orage,Gewitter,Temporale,Tempestade
WEATHER_THUNDERSTORM_DESC,"Persistent Water Element. At the end of each round, wind blows everything 1 space in a random direction. After each turn, there's a chance for a random lightning strike.",,Постiйний водний елемент. Наприкiнцi кожного раунду вiтер здуваê все на 1 клiтинку у випадковому напрямку. Пiсля кожного ходу ê шанс на випадковий удар блискавки.,"Eau persistante. À la fin de chaque manche, le vent repousse tout d'une case dans une direction aléatoire. Après chaque tour, un éclair risque de frapper.",Durchgängiger Wassereffekt. Am Ende jeder Runde weht der Wind alles um 1&nbsp;Feld in eine zufällige Richtung. Nach jedem Zug besteht eine gewisse Wahrscheinlichkeit für einen zufälligen Blitzeinschlag.,"Elemento acqua persistente. Alla fine di ogni round, il vento sposta tutto di 1 spazio in una direzione casuale. Dopo ogni turno, c'è una probabilità che si verifichi un fulmine casuale.","Um elemento persistente de água. No final de cada rodada, o vento empurra tudo por 1 espaço em uma direção aleatória. Após cada turno, há uma chance de um raio aleatório."
WEATHER_FLASHFLOOD_NAME,Flash Flood,,Раптова повiнь,Crue éclair,Sturzflut,Inondazione Improvvisa,Inundação
WEATHER_FLASHFLOOD_DESC,Persistent Water Element. There are a ton of extra water tiles in every battle.,,Постiйний водний елемент. У кожнiй битвi ê багато додаткових водяних клiтинок.,Eau persistante. De nombreuses cases d'eau supplémentaires apparaissent à chaque combat.,Durchgängiger Wassereffekt. In jedem Kampf sind jede Menge zusätzliche Wasserfelder vorhanden.,Elemento acqua persistente. In ogni battaglia ci sono tantissime caselle d'acqua in più.,Um elemento persistente de água. Há muitos espaços adicionais de água em cada batalha.
WEATHER_TRASHDAY_NAME,Trash Day,,День смiття,Jour des poubelles,Kehrwoche,Giorno della Raccolta della Spazzatura,Dia do lixo
WEATHER_TRASHDAY_DESC,There is extra junk in every battle.,,У кожнiй битвi ê додатковий мотлох.,Des détritus supplémentaires apparaissent à chaque combat.,In jedem Kampf liegt zusätzlicher Müll herum.,In ogni battaglia c'è più ciarpame.,Há lixo adicional em cada batalha.
WEATHER_FROGS_NAME,Raining Frogs,,Дощ iз жаб,Pluie de grenouilles,Froschregen,Pioggia di Rane,Chuva de sapos
WEATHER_FROGS_DESC,There are extra neutral frogs in every battle.,,У кожнiй битвi ê додатковi нейтральнi жаби.,Des grenouilles neutres supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen neutrale Frösche auf.,In ogni battaglia ci sono più rane neutrali.,Há sapos neutros adicionais em cada batalha.
WEATHER_BLOCKAGE_NAME,Pipe Blockage,,Затор у трубi,Canalisations bouchées,Verstopfte Rohre,Tubi Ostruiti,Entupimento de cano
WEATHER_BLOCKAGE_DESC,There is extra poop and sewage in every battle.,,У кожнiй битвi ê додаткове гiвно та стiчнi води.,Des excréments et eaux usées supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen Häufchen und Ekelschleim auf.,In ogni battaglia ci sono più cacca e liquami.,Há cocô e esgoto adicionais em cada batalha.
WEATHER_PAYDAY_NAME,Pay Day,,День виплат,Jour de paye,Zahltag,Giorno di Paga,Dia de pagamento
WEATHER_PAYDAY_DESC,There are extra coins in every battle.,,У кожнiй битвi ê додатковi монети.,Des pièces supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen zusätzliche Münzen auf.,In ogni battaglia ci sono più monete.,Há moedas adicionais em cada batalha.
WEATHER_HUNTING_NAME,Hunting Season,,Мисливський сезон,Saison de chasse,Jagdsaison,Stagione di Caccia,Temporada de caça
WEATHER_HUNTING_DESC,There are extra bear traps in every battle.,,У кожнiй битвi ê додатковi капкани для ведмедiв.,Des pièges à ours supplémentaires apparaissent à chaque combat.,In jedem Kampf tauchen zusätzlichen Bärenfallen auf.,In ogni battaglia ci sono più trappole per orsi.,Há armadilhas de urso adicionais em cada batalha.
WEATHER_RESTLESS_NAME,Restless Dead,,Неспокiйнi Мертвi,Éveil des morts,Rastlose Leichen,Morti Inquieti,Mortos despertos
WEATHER_RESTLESS_DESC,Zombies spawn at the end of each round.,,Зомбi заспавнюються в кiнцi кожного раунду.,Des zombies apparaissent à la fin de chaque manche.,Am Ende jeder Runde erscheinen Zombies.,Degli zombie compaiono alla fine di ogni round.,Zumbis surgem no final de cada rodada.
WEATHER_FIREFLY_NAME,Firefly Swarm,,Рiй Свiтлячкiв,Essaim de lucioles,Glühwürmchenschwarm,Sciame di Lucciole,Enxame de vaga-lumes
WEATHER_FIREFLY_DESC,All allies have +2 luck.,,Усi союзники мають +2 до удачi.,Tous les alliés bénéficient de Chance +2.,Alle Verbündeten haben +2&nbsp;Glück.,Tutti gli alleati ricevono +2 alla fortuna.,Todos os aliados possuem +2 de sorte.
WEATHER_BUTTERFLY_NAME,Butterfly Swarm,,Рiй Метеликiв,Essaim de papillons,Schmetterlingsschwarm,Sciame di Farfalle,Enxame de borboletas
WEATHER_BUTTERFLY_DESC,All allies have +2 luck.,,Усi союзники мають +2 до удачi.,Tous les alliés bénéficient de Chance +2.,Alle Verbündeten haben +2&nbsp;Glück.,Tutti gli alleati ricevono +2 alla fortuna.,Todos os aliados possuem +2 de sorte.
WEATHER_FLYSWARM_NAME,Fly Swarm,,Рiй Мух,Essaim de mouches,Fliegenschwarm,Sciame di Mosche,Enxame de moscas
WEATHER_FLYSWARM_DESC,"At the end of each turn, there's a chance to get bitten for 1 damage and 1 Bleed.",,"У кiнцi кожного ходу ê шанс отримати укус, що завдаê 1 шкоди та 1 одиницю Кровотечi.","À la fin de chaque tour, vous risquez de subir une morsure infligeant 1 point de dégât et Saignement +1.","Am Ende jeder Runde besteht die Wahrscheinlichkeit, gebissen zu werden und 1&nbsp;Schaden und 1&nbsp;Blutung zu erleiden.","Alla fine di ogni turno, c'è una probabilità di essere morsi e subire 1 di danno e 1 Sanguinamento.","No final de cada turno, há uma chance de receber uma mordida e sofrer 1 de dano e 1 de sangramento."
WEATHER_TORFLIES_NAME,Fly Swarm,,Рiй Мух,Essaim de mouches,Fliegenschwarm,Sciame di Mosche,Enxame de moscas
WEATHER_TORFLIES_DESC,There's lots of flies!,,Тут багато мух!,Des mouches partout !,Überall sind Fliegen!,Ci sono un sacco di mosche!,Muitas moscas!
WEATHER_LOWGRAV_NAME,Low Gravity,,Низька Гравiтацiя,Faible gravité,Niedrige Gravitation,Bassa Gravità,Gravidade baixa
WEATHER_LOWGRAV_DESC,"Jumps, throws, and projectile abilities have +2 range. All physical abilities have +1 Knockback. Other abilities that cause Knockback have +1 Knockback as well.",,"Стрибки, кидки та здiбностi, якi запускають снаряди, мають +2 до дальностi. Усi фiзичнi здiбностi мають +1 до вiдкидання. Iншi здiбностi, що спричиняють вiдкидання, також мають +1 до вiдкидання.","Portée&nbsp;+2 pour toutes les compétences de saut, de jet et de projectile. Recul&nbsp;+1 pour toutes les compétences physiques. Recul&nbsp;+1 également pour toutes les autres compétences qui infligent Recul.","Sprünge, Würfe und Geschosse haben +2&nbsp;Reichweite. Alle physischen Fähigkeiten haben +1&nbsp;Rückstoß. Andere Fähigkeiten, die bereits Rückstoß haben, haben ebenfalls +1&nbsp;Rückstoß.","Le abilità salto, lancio e proiettile hanno +2 al raggio d'azione. Tutte le abilità fisiche hanno 1+ Contraccolpo. Anche le altre abilità che causano Contraccolpo hanno +1 Contraccolpo.","Saltos, lançamentos e habilidades de projéteis possuem +2 de alcance. Todas as habilidades físicas possuem +1 de empurrão. Outras habilidades que aplicam empurrão também possuem +1 de empurrão."
WEATHER_FIRESTORM_NAME,Firestorm,,Вогняна Буря,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de fogo
WEATHER_FIRESTORM_DESC,Persistent Fire Element. Fires no longer burn out. Parts of the map are on fire.,,Постiйний вогняний елемент. Вогонь бiльше не гасне. Деякi частини карти охопленi вогнем.,Feu persistant. Le feu ne s'éteint plus. Des parties de la carte sont en feu.,Durchgängiger Feuereffekt. Feuer erlöschen nicht mehr. Mehrere Felder brennen.,Elemento fuoco persistente. Gli incendi non si estinguono. Parti della mappa sono in fiamme.,Um elemento persistente de fogo. O fogo não se apaga mais. Partes do mapa estão pegando fogo.
WEATHER_KAIJUFIRE_NAME,Firestorm,,Вогняна Буря,Tempête de feu,Feuersturm,Tempesta di Fuoco,Tempestade de fogo
WEATHER_KAIJUFIRE_DESC,Persistent Fire Element. Fireballs occasionally rain down from the sky. Fires no longer burn out.,,Постiйний вогняний елемент. Iнодi з неба падають вогнянi кулi. Вогонь бiльше не гасне.,Feu persistant. Des boules de feu tombent périodiquement du ciel. Le feu ne s'éteint plus.,Durchgängiger Feuereffekt. In gewissen Abständen regnet Feuer vom Himmel. Feuer erlöschen nicht mehr.,Elemento fuoco persistente. Di tanto in tanto dal cielo piovono palle di fuoco. Le fiamme non si estinguono più.,Um elemento persistente de fogo. Bolas de fogo caem do céu ocasionalmente. O fogo não se apaga mais.
WEATHER_METEORNADO_NAME,Meteornado,,Метеоторнадо,Météornade,Meteornado,Meteornado,Meteoronado
WEATHER_METEORNADO_DESC,"At the end of each round, damages everything by 1 with a 33% chance to Bruise.",,У кiнцi кожного раунду завдаê всiм 1 шкоди з 33% шансом спричинити Синець.,"À la fin de chaque manche, inflige 1 point de dégât partout avec 33 % de chance de Contusion.","Am Ende jeder Runde erleiden alle Einheiten 1&nbsp;Schaden und es besteht eine Wahrscheinlichkeit von 33&nbsp;%, Beulen zu erleiden.","Alla fine di ogni round, infligge 1 di danno a tutto con un 33% di probabilità di Livido.","No final de cada rodada, causa 1 de dano a tudo com 33% de chance de causar contusão."
WEATHER_KAIJUMETEORNADO_NAME,Meteornado,,Метеоторнадо,Météornade,Meteornado,Meteornado,Meteoronado
WEATHER_KAIJUMETEORNADO_DESC,"At the end of each round, damages everything by 1 with a 33% chance to Bruise.",,У кiнцi кожного раунду завдаê всiм 1 шкоди з 33% шансом спричинити Синець.,"À la fin de chaque manche, inflige 1 point de dégât partout avec 33 % de chance de Contusion.","Am Ende jeder Runde erleiden alle Einheiten 1&nbsp;Schaden und es besteht eine Wahrscheinlichkeit von 33&nbsp;%, Beulen zu erleiden.","Alla fine di ogni round, infligge 1 di danno a tutto con un 33% di probabilità di Livido.","No final de cada rodada, causa 1 de dano a tudo com 33% de chance de causar contusão."
WEATHER_KAIJUMETEORSOLO_NAME,Meteornado,,Метеорнадо,Météornade,Meteornado,Meteornado,Meteoronado
WEATHER_KAIJUMETEORSOLO_DESC,"At the end of each round, damages everything by 1 with a 33% chance to Bruise.",,Наприкiнцi кожного раунду завдаê всiм по 1 шкоди та маê 33% шанс спричинити Ушиб.,"À la fin de chaque manche, inflige 1 point de dégât partout avec 33 % de chance de Contusion.","Am Ende jeder Runde erleiden alle Einheiten 1&nbsp;Schaden und es besteht eine Wahrscheinlichkeit von 33&nbsp;%, Beulen zu erleiden.","Alla fine di ogni round, infligge 1 di danno a tutto con un 33% di probabilità di Livido.","No final de cada rodada, causa 1 de dano a tudo com 33% de chance de causar contusão."
WEATHER_ROBOTS_NAME,Robot Uprising,,Повстання роботiв,Soulèvement des machines,Roboteraufstand,Rivolta dei Robot,Levante de robôs
WEATHER_ROBOTS_DESC,2-4 robots spawn in each battle. All robots have gone rogue!,,У кожнiй битвi з'являються 2-4 роботи. Усi роботи збунтувалися!,2 à 4&nbsp;robots apparaissent à chaque combat. Tous les robots se rebellent !,In jedem Kampf erscheinen 2&nbsp;– 4 Roboter. Alle Roboter sind durchgedreht!,In ogni battaglia compaiono 2-4 robot. Tutti i robot sono fuori controllo!,2-4 robôs surgem em cada batalha. Todos os robôs se rebelaram!
WEATHER_HAUNTED_NAME,Haunted Night,,Нiч привидiв,Nuit hantée,Verfluchte Nacht,Notte Spettrale,Noite mal-assombrada
WEATHER_HAUNTED_DESC,2-4 ghosts spawn in each battle. All ghosts have gone rogue!,,У кожнiй битвi з'являються 2-4 привиди. Усi привиди збунтувалися!,2 à 4&nbsp;fantômes apparaissent à chaque combat. Tous les fantômes se rebellent !,In jedem Kampf erscheinen 2&nbsp;– 4 Geister. Alle Geister sind durchgedreht!,In ogni battaglia compaiono 2-4 fantasmi. Tutti i robot sono fuori controllo!,2-4 fantasmas surgem em cada batalha. Todos os fantasmas se rebelaram!
WEATHER_MIGRATION_NAME,Bird Migration,,Мiграцiя птахiв,Migration aviaire,Vogelzug,Migrazione degli Uccelli,Migração de pássaros
WEATHER_MIGRATION_DESC,1-2 extra birds spawn in each battle.,,У кожнiй битвi з'являються ще 1-2 птахи.,1 à 2&nbsp;oiseaux supplémentaires apparaissent à chaque combat.,In jedem Kampf erscheinen 1&nbsp;– 2 zusätzliche Vögel.,In ogni battaglia compaiono 1-2 uccelli in più.,1-2 pássaros adicionais surgem em cada batalha.
WEATHER_COCKROACHES_NAME,Cockroach Infestation,,Нашестя тарганiв,Invasion de cafards,Kakerlakennest,Infestazione di Scarafaggi,Infestação de baratas
WEATHER_COCKROACHES_DESC,All units have a 25% chance to start each battle with Fear or Poison.,,Усi юнiти мають 25% шанс почати кожну битву зi Страхом або Отруêнням.,Toutes les unités ont 25 % de chances de commencer chaque combat avec Peur ou Poison.,"Für alle Einheiten besteht eine Wahrscheinlichkeit von 25&nbsp;%, jeden Kampf mit Angst oder Gift zu beginnen.",Tutte le unità hanno un 25% di probabilità di iniziare ogni battaglia con Paura o Veleno.,Todas as unidades possuem 25% de chance de iniciar cada batalha com medo ou veneno.
WEATHER_JUDGEMENT_NAME,Judgement Day,,День Суду,Jugement dernier,Tag des jüngsten Gerichts,Giorno del Giudizio,Dia do julgamento
WEATHER_JUDGEMENT_DESC,Some tiles will get Raptured at the end of each round during the battle. More tiles are affected every round.,,Деякi клiтинки наприкiнцi кожного раунду пiд час бою будуть вознесенi. З кожним раундом зачiпаêться бiльше клiтинок.,Certaines cases seront Purifiées à la fin de chaque manche pendant le combat. De plus en plus de cases seront affectées à chaque manche.,Manche Felder werden am Ende jeder Runde ausgelöscht. Mit jeder Runde sind mehr Felder betroffen.,"Durante la battaglia, alcune caselle saranno distrutte da un raggio divino alla fine di ogni round. Più caselle ne saranno colpite a ogni round.",Alguns espaços são arrebatados no final de cada rodada durante a batalha. Mais espaços são afetados a cada rodada.
WEATHER_PANDEMONIUM_NAME,Pandemonium,,Пандемонiум,Pandémonium,Chaos,Pandemonio,Pandemônio
WEATHER_PANDEMONIUM_DESC,All units have a 25% chance to have Madness each round.,,Усi юнiти мають 25% шанс отримати Божевiлля кожного раунду.,Toutes les unités ont 25 % de chances de subir Folie à chaque manche.,"Für alle Einheiten besteht jede Runde eine Wahrscheinlichkeit von 25&nbsp;%, Wahnsinn zu erleiden.",Tutte le unità hanno un 25% di probabilità di subire Follia a ogni round.,Todas as unidades possuem uma chance de 25% de sofrer insanidade a cada rodada.
WEATHER_HOLLOWING_NAME,The Hollowing,,Опустошення,Saison des carcasses,Wiedergang,Il Vuoto,Alma vazia
WEATHER_HOLLOWING_DESC,"At the end of the round, each corpse has a 25% chance to revive at half health with Madness 5.",,Наприкiнцi раунду кожен труп маê 25% шанс воскреснути з половиною здоров'я i з Божевiллям 5.,"À la fin de chaque manche, chaque cadavre a 25 % de chances de se relever avec la moitié de sa vie et Folie +5.","Am Ende einer Runde besteht für jede Leiche eine Wahrscheinlichkeit von 25&nbsp;%, mit der Hälfte ihrer LP und Wahnsinn&nbsp;5 wiederbelebt zu werden.","Alla fine del round, ogni cadavere ha un 25% di probabilità di tornare in vita con metà salute e Follia 5.","No final da rodada, cada cadáver possui uma chance de 25% de ser revivido com metade da saúde e insanidade 5."
WEATHER_OILSPILL_NAME,Oil Spill,,Розлив смоли,Marée noire,Ölteppich,Fuoriuscita di Petrolio,Derramamento de óleo
WEATHER_OILSPILL_DESC,A puddle of tar appears in each battle.,,У кожнiй битвi з'являêться калюжа дьогтю.,Une flaque de goudron apparaît à chaque combat.,In jedem Kampf taucht eine Teerpfütze auf.,In ogni battaglia compare una pozza di catrame.,Uma poça de piche surge em cada batalha.
WEATHER_BLIZZARD_NAME,Blizzard!,,Метель!,Blizzard,Schneesturm!,Bufera di Neve!,Tempestade de neve!
WEATHER_BLIZZARD_DESC,"Persistent Ice Element. At the end of each round, wind blows everything 1 space in a random direction. After each turn, there's a chance for a random lightning strike.",,Постiйний льодовий ефект. Наприкiнцi кожного раунду вiтер зсуваê все на 1 клiтинку в випадковому напрямку. Пiсля кожного ходу ê шанс випадковоï блискавки.,"Glace persistante. À la fin de chaque manche, le vent repousse tout d'une case dans une direction aléatoire. Après chaque tour, un éclair risque de frapper.",Durchgängiger Eiseffekt. Am Ende jeder Runde weht der Wind alles um 1&nbsp;Feld in eine zufällige Richtung. Nach jedem Zug besteht eine gewisse Wahrscheinlichkeit für einen zufälligen Blitzeinschlag.,"Elemento ghiaccio persistente. Alla fine di ogni round, il vento sposta tutto di 1 spazio in una direzione casuale. Dopo ogni turno, c'è una probabilità che si verifichi un fulmine casuale.","Um elemento persistente de gelo. No final de cada rodada, o vento empurra tudo por 1 espaço em uma direção aleatória. Após cada turno, há uma chance de um raio aleatório."
WEATHER_HURRICANE_NAME,Hurricane!,,Ураган!,Ouragan,Orkan!,Uragano!,Furacão!
WEATHER_HURRICANE_DESC,"At the end of each round, wind blows everything 10 spaces in a random direction.",,Наприкiнцi кожного раунду вiтер зносить все на 10 клiтинок у випадковому напрямку.,"À la fin de chaque manche, le vent repousse tout de 10 cases dans une direction aléatoire.",Am Ende jeder Runde weht der Wind alles um 10&nbsp;Felder in eine zufällige Richtung.,"Alla fine di ogni round, il vento sposta tutto di 10 spazi in una direzione casuale.","No final de cada rodada, o vento empurra tudo por 10 espaços em uma direção aleatória."
WEATHER_STRANGESPIKES_NAME,Strange Spikes!,,Дивнi Шипи!,Étranges épines,Merkwürdige Spitzen!,Strani Spuntoni!,Espinhos estranhos!
WEATHER_STRANGESPIKES_DESC,"At the end of the round, all units gain +1 Thorns.",,Наприкiнцi раунду всi юнiти отримують +1 до Шипiв.,"À la fin de la manche, confère Épines&nbsp;+1 à toutes les unités.",Am Ende jeder Runde erhalten alle Einheiten +1&nbsp;Dornen.,"Alla fine di ogni round, tutte le unità ottengono +1 Spine.","No final de cada rodada, todas as unidades obtém +1 de espinhos."
WEATHER_BLESSED_NAME,Blessed Day!,,Благословений день!,Bénédiction,Gesegneter Tag!,Giornata Sacra!,Dia abençoado!
WEATHER_BLESSED_DESC,All units have +3 Health Regen. Persistent Holy Element.,,Усi юнiти мають +3 до вiдновлення здоров'я. Постiйний Святий Елемент.,Régénération de santé&nbsp;+3 pour toutes les unités. Sacré persistant.,Alle Einheiten haben +3&nbsp;Lebensregeneration. Durchgängiger heiliger Effekt.,Tutte le unità hanno +3 a Rigenerazione Salute. Elemento sacro persistente.,Todas as unidades obtêm +3 de regeneração de saúde. Um elemento sagrado persistente.
WEATHER_STEALTH_NAME,Stealth Mission,,Мiсiя невидимостi,Mission d'infiltration,Geheimmission,Missione Furtiva,Missão furtiva
WEATHER_STEALTH_DESC,All units gain Stealth at the start of the battle.,,Усi юнiти отримують Невидимiсть на початку бою.,Toutes les unités obtiennent Furtivité au début du combat.,Alle Einheiten erhalten am Anfang des Kampfes Schleichen.,Tutte le unità ottengono Furtività all'inizio della battaglia.,Todas as unidades obtêm furtividade no início da batalha.
WEATHER_INFESTATION_NAME,Infestation,,Нашестя,Infestation,Plage,Infestazione,Infestação
WEATHER_INFESTATION_DESC,All non-tiny units explode into maggots or flies when they die.,,"Усi юнiти, що не ê крихiтними, вибухають у личинки або мухи, коли вмирають.","Toutes les unités, à l'exception des plus petites, explosent en asticots ou en mouches à leur mort.","Alle Einheiten, die nicht winzig sind, explodieren in einem Haufen Maden oder Fliegen, wenn sie sterben.",Tutte le unità non minuscole esplodono diventando larve o mosche quando muoiono.,Todas as unidades não minúsculas explodem em vermes e moscas ao morrer.
WEATHER_ERUPTION_NAME,Eruption,,Виверження,Éruption volcanique,Eruption,Eruzione,Erupção
WEATHER_ERUPTION_DESC,A mini volcano spawns in each battle.,,У кожнiй битвi заспавнюêться мiнi-вулкан.,Un mini volcan apparaît à chaque combat.,In jedem Kampf erscheint ein kleiner Vulkan.,In ogni battaglia viene generato un mini vulcano.,Um mini vulcão surge em cada batalha.
WEATHER_DRUGS_NAME,Drug Awareness Day,,День обiзнаностi про наркотики,Sensibilisation aux drogues,Weltdrogentag,Giornata di Sensibilizzazione sulle Droghe,Dia de combate às drogas
WEATHER_DRUGS_DESC,There is extra catnip in every battle. Find a random pill after every battle.,,У кожнiй битвi бiльше котячоï м'яти. Пiсля кожноï битви отримуйте випадкову пiгулку.,De l'herbe à chat supplémentaire apparaît à chaque combat. Vous trouvez une pilule aléatoire après chaque combat.,In jedem Kampf erscheint eine zufällige Katzenminze. Nach jedem Kampf findest du eine zufällige Pille.,C'è più erba gatta in ogni battaglia. Trovi una pillola casuale dopo ogni battaglia.,Há ervas-de-gato adicionais em cada batalha. Encontre uma pílula aleatória após cada batalha.
WEATHER_TRAININGDAY_NAME,Training Day,,День тренувань,Jour d'entraînement,Fitnesstag,Allenamento,Dia de treinamento
