KEY,en,notes,sp,fr,de,it,pt-br
ENEMY_LOUSE_DESC,Its melee attacks inflict Bruise.,,Його атаки в ближньому бою накладають Bruise.,Son attaque au corps-à-corps inflige Contusion.,Ihr Nahkampfangriff verursacht Beulen.,Il suo attacco corpo a corpo infligge Livido.,Seu ataque corpo-a-corpo aplica contusão.
ENEMY_LILRAT_NAME,Lil' Rat,,Lil' Rat,Raton,Rattenfratz,Topolino,Ratinho
ENEMY_LILRAT_DESC,Dashes in a straight line.,,Ривком мчить по прямій.,Fonce en ligne droite.,Stürmt in einer geraden Linie auf Gegner.,Scatta in linea retta.,Dá um impulso em linha reta.
ENEMY_POOTER_NAME,Pooter,,Pooter,Mouche cracheuse,Pupser,Puzzone,Pooter
ENEMY_POOTER_DESC,Ranged attacker. Flying.,,Атакує здалеку. Літає.,Attaque à distance. Vol.,Fernkämpfer. Fliegt.,Specialista degli attacchi a distanza. Volante.,Ataque à distância. Voador.
ENEMY_WORM_NAME,Worm,,Worm,Ver,Wurm,Verme,Verme
ENEMY_WORM_DESC,Moves away when damaged.,,"Віддаляється, коли отримує шкоду.",Recule quand il est touché.,"Bewegt sich weg, wenn er Schaden erleidet.",Si allontana quando subisce danno.,Afasta-se quando sofre dano.
ENEMY_MADLAD_NAME,Mad Lad,,Шалений чувак,Zinzolin,Verrückter Kerl,Pazzoide,Pirado
ENEMY_MADLAD_DESC,,,,,,,
ENEMY_GASSER_NAME,Gasser,,Газник,Roteur,Furzer,Fumigatore,Gasinho
ENEMY_GASSER_DESC,,,,,,,
ENEMY_RAGER_NAME,Rager,,Бешенець,Croqueur,Wüter,Rabbioso,Raiveiro
ENEMY_RAGER_DESC,,,,,,,
ENEMY_CUTTER_NAME,Cutter,,Різак,Trancheur,Schneider,Tagliatore,Cortador
ENEMY_CUTTER_DESC,,,,,,,
ENEMY_BLORB_NAME,Blorb,,Блорб,Excroissance,Blorb,Blobbo,Blorb
ENEMY_BLORB_DESC,Its ranged attack inflicts Slow in an area.,,Його дистанційна атака накладає сповільнення в зоні.,Son attaque à distance inflige Lenteur dans une zone donnée.,Sein Fernkampfangriff verursacht in einem bestimmten Bereich Verlangsamung.,Il suo attacco a distanza infligge Rallentamento all'interno di un'area.,Sem ataque à distância aplica lentidão em uma área.
ENEMY_FLORB_NAME,Florb,,Флорб,Excroissance flottante,Florb,Flobbo,Florb
ENEMY_FLORB_DESC,Its ranged attack inflicts Slow. Flying.,,Його дистанційна атака накладає сповільнення. Літає.,Son attaque à distance inflige Lenteur. Vol.,Sein Fernkampfangriff verursacht Verlangsamung. Fliegt.,Il suo attacco a distanza infligge Rallentamento. Volante.,Sem ataque à distância aplica lentidão. Voador.
ENEMY_LUMPY_NAME,Lumpy,,Грудкуватий,Ratatouille,Schleimi,Amorfo,Protuberante
ENEMY_LUMPY_DESC,Its ranged attack creates Creep. Spawns Creep when damaged.,,"Його дистанційна атака створює слиз. Коли зазнає пошкодження, заспавнює слиз.",Son attaque à distance disperse de la bave toxique. De la bave toxique apparaît quand il subit des dégâts.,"Sein Fernkampfangriff erschafft Ekelschleim. Erschafft Ekelschleim, wenn er Schaden erleidet.",Il suo attacco a distanza crea Melma. Genera melma quando subisce danno.,Seu ataque à distância gera gosma. Gera gosma ao sofrer dano.
ENEMY_LEAPER_NAME,Leaper,,Стрибун,Bondisseur,Springer,Salterino,Saltador
ENEMY_LEAPER_DESC,Its leap attack damages and knocks back all adjacent units.,,Його стрибкова атака завдає шкоди й відштовхує всі сусідні юніти.,Son attaque sautée inflige des dégâts et repousse les unités adjacentes.,Sein Sprungangriff verursacht Schaden bei allen benachbarten Einheiten und stößt sie zurück.,Il suo attacco in balzo infligge danno e respinge tutte le unità adiacenti.,Seu ataque de salto causa dano e empurra para trás todas as unidades adjacentes.
ENEMY_BOMBFLY_NAME,Bomb Fly,,Літаюча бомба,Mouche explosive,Bombenfliege,Mosca Esplosiva,Mosca-Bomba
ENEMY_BOMBFLY_DESC,Explodes when it dies.,,Вибухає при смерті.,Explose à sa mort.,"Explodiert, wenn sie stirbt.",Esplode alla morte.,Explode ao morrer.
ENEMY_BURFERMAGGOT_NAME,Burfer Maggot,,Бурфер-опариш,Asticot tumoral,Spuckmade,Larva Giardiniera,Verme Saliveiro
ENEMY_BURFERMAGGOT_DESC,Its attack surrounds units with Thorny lumps.,,Його атака оточує юнітів колючими грудочками.,Son attaque entoure les unités d'amas épineux.,Ihr Angriff umgibt Einheiten mit dornigen Klumpen.,Il suo attacco circonda le unità con una massa di spine.,Seu ataque cerca unidades com caroços espinhentos.
ENEMY_CHARGEYMAGGOT_NAME,Chargey Maggot,,Штурмовий опариш,Asticot bélier,Stürmermade,Larva da Carica,Verme Atacante
ENEMY_CHARGEYMAGGOT_DESC,Its dash attack has trample.,,Його атака ривком має ефект потоптання.,Son attaque impulsée inflige Piétinement.,Ihr Ansturmangriff verfügt über Trampel.,Il suo attacco in scatto infligge Calpestamento.,Seu ataque de impulso possui atropelamento.
ENEMY_DIGGYMAGGOT_NAME,Diggy Maggot,,Копач-опариш,Asticot fouisseur,Gräbermade,Larva Scavatrice,Verme Escavador
ENEMY_DIGGYMAGGOT_DESC,Its melee attack has a chance to Stun. Swaps places with a unit to move.,,"Його ближня атака має шанс оглушити. Щоб пересунутися, він міняється місцями з юнітом.",Son attaque au corps-à-corps a des chances d'infliger Étourdissement. Échange sa place avec une unité pour se déplacer.,"Ihr Nahkampfangriff kann betäuben. Tauscht die Position mit einer anderen Einheit, um sich fortzubewegen.",Il suo attacco corpo a corpo ha una probabilità di infliggere Stordimento. Per muoversi si scambia di posto con un'altra unità.,Seu ataque corpo-a-corpo possui uma chance de atordoar. Troca de lugar com uma unidade para se mover.
ENEMY_TARBABY_NAME,Tar Baby,,Смоляне Дитя,Goudronet,Teerbaby,Bebè di Catrame,Bebê Piche
ENEMY_TARBABY_DESC,"Its ranged attack creates Tar tiles.
Leaves Tar tiles in its path.",,"Його далекобійна атака створює смоляні клітинки.
Залишає смоляні клітинки на своєму шляху.","Son attaque à distance crée des cases de goudron.
Laisse des cases de goudron sur son passage.","Sein Fernkampfangriff erzeugt Teerfelder.
Hinterlässt Teerfelder, wenn es sich fortbewegt.","Il suo attacco a distanza crea caselle di Catrame.
Lascia delle caselle di Catrame lungo il suo percorso.","Seu ataque à distância cria espaços de piche.
Deixa espaços de piche em seu caminho."
ENEMY_CHUMBAG_NAME,Chum Bag,,Мішок Приманки,Sac d'asticots,Ködertasche,Sacco di Pastura,Sacupincha
ENEMY_CHUMBAG_DESC,Its long range attack spawns Maggots if it hits an empty tile. Becomes a Chummy when killed. Stationary.,,"Його далекобійна атака заспавнює личинок, якщо вона влучає в порожню клітинку. Стає Chummy, коли його вбивають. Нерухомий.",Son attaque à longue portée invoque des asticots si elle touche une case vide. Se change en caillasticot quand il est tué. Stationnaire.,"Ihr Fernkampfangriff ruft Maden, wenn er ein leeres Feld trifft. Wird zu Ködi, wenn sie stirbt. Stationär.",Il suo attacco a lunga distanza genera Larve quando colpisce caselle vuote. Se ucciso diventa un Pasturello. Stazionario.,Seu ataque de longa distância gera vermes se acertar um espaço vazio. Torna-se um cupincha ao ser morto. Fixo.
ENEMY_CHUMMY_NAME,Chummy,,Chummy,Caillasticot,Ködi,Pasturello,Cupincha
ENEMY_CHUMMY_DESC,Dashes in a straight line.,,Рушає по прямій лінії.,Fonce en ligne droite.,Stürmt in einer geraden Linie auf Gegner.,Scatta in linea retta.,Dá um impulso em linha reta.
ENEMY_HOST_NAME,Host,,Host,Hôte,Wirt,Ospite,Hospedeiro
ENEMY_HOST_DESC,"Shoots 3 projectiles in a spread.
Reflects projectiles and knocks back units who contact it.
Stationary.",,"Вистрілює 3 снаряди врозкид.
Відбиває снаряди і відштовхує юнітів при контакті.
Нерухомий.","Tire 3&nbsp;projectiles en éventail.
Renvoie les projectiles et repousse les unités qui le touchent.
Stationnaire.","Verschießt drei Geschosse in verschiedene Richtungen.
Reflektiert Geschosse und stößt Einheiten, die ihn berühren, zurück.
Stationär.","Spara tre proiettili a raggiera.
Respinge i proiettili e i nemici che vi entrano in contatto.
Stazionario.","Dispara 3 projéteis que se espalham.
Reflete projéteis e empurra para trás unidades que entram em contato.
Fixo."
ENEMY_PILE_NAME,Pile,,Pile,Étron,Haufen,Pila,Pilha
ENEMY_PILE_DESC,Its ranged attack spawns Dips. Stationary.,,Його дальня атака заспавнює Dips. Нерухомий.,Son attaque à distance fait apparaître des cacas. Stationnaire.,Sein Fernkampfangriff erzeugt Köttel. Stationär.,Il suo attacco a distanza genera Cacchine. Stazionario.,Seu ataque à distância gera caquinhas. Imóvel.
ENEMY_FLOATER_NAME,Floater,,Floater,Crotte,Würstchen,Galleggiatore,Flutuante
ENEMY_FLOATER_DESC,Melee attacker that moves away after it deals damage.,,Атакує в ближньому бою й відходить після завдання шкоди.,Attaque au corps-à-corps et se replie après avoir infligé des dégâts.,"Nahkämpfer, der sich wegbewegt, nachdem er Schaden verursacht.",Specialista del corpo a corpo che si allontana dopo aver inflitto danno.,Agressor corpo-a-corpo que se afasta após causar dano.
ENEMY_WATERLEECH_NAME,Water Leech,,Водяна Пиявка,Sangsue aquatique,Wasseregel,Sanguisuga Acquatica,Sanguessuga aquática
ENEMY_WATERLEECH_DESC,"Seeks water when its out of water.
While in water, dashes in a straight line with Lifesteal that passes through units.",,"Шукає воду, коли знаходиться поза водою.
Поки у воді, рве по прямій лінії з відсмоктуванням життя, проходячи крізь юнітів.","Recherche de l'eau quand elle en manque.
Quand elle est dans l'eau, elle fonce en ligne droite et inflige Vol de vie aux unités qu'elle traverse.","Sucht das Wasser auf, wenn er sich an Land befindet.
Wenn er im Wasser ist, kann er in einer geraden Linie durch Gegner stürmen und Leben absaugen.","Cerca l'acqua quando è fuori da essa.
Mentre vi è immersa, scatta in linea retta con Rubavita ed è in grado di attraversare le unità.","Busca água quando está fora dela.
Enquanto está na água, dá um impulso em linha reta com roubo de vida que atravessa unidades."
ENEMY_DADDYSHARK_NAME,Daddy Shark,,Тато-акула,Papa requin,Papa Hai,Squalo Papà,Papai Tubarão
ENEMY_DADDYSHARK_DESC,"Will instantly kill anything it can reach!
Takes bonus turns for each bleeding unit.
Focuses on bleeding units.",,"Одразу вбиває все, до чого може дістатися!
Отримує додаткові ходи за кожного юніта, що кровоточить.
Цілиться у юнітів, що кровоточать.","Tue sur le coup tout ce qui est à sa portée.
Bénéficie d'un tour bonus pour chaque unité qui saigne.
Cible en priorité les unités qui saignent.","Tötet jede Einheit sofort, die er erreichen kann!
Bekommt zusätzliche Züge pro blutender Einheit.
Bevorzugt blutende Einheiten.","Uccide all'istante tutto ciò che riesce a toccare!
Ottiene turni bonus per ogni unità con Sanguinamento.
Si concentra sulle unità con Sanguinamento.","Mata instantaneamente qualquer coisa que consiga alcançar!
Utiliza turnos adicionais para cada unidade com sangramento.
Concentra-se em unidades com sangramento."
ENEMY_BABYSHARK_NAME,Baby Shark,,Маленька акула,Bébé requin,Babyhai,Squalo Bebè,Bebê Tubarão
ENEMY_BABYSHARK_DESC,"Its bite inflicts Bleed but does no damage.
Takes bonus turns for each bleeding unit.
Focuses on bleeding units.",,"Її укус накладає Кровотечу, але не завдає шкоди.
Отримує додаткові ходи за кожного юніта, що кровоточить.
Цілиться у юнітів, що кровоточать.","Sa morsure inflige Saignement mais aucun dégât.
Bénéficie d'un tour bonus pour chaque unité qui saigne.
Cible en priorité les unités qui saignent.","Sein Biss verursacht Blutung, aber keinen Schaden.
Bekommt zusätzliche Züge pro blutender Einheit.
Bevorzugt blutende Einheiten.","Il suo morso infligge Sanguinamento, ma non danno.
Ottiene turni bonus per ogni unità con Sanguinamento.
Si concentra sulle unità con Sanguinamento.","Sua mordida aplica sangramento, mas não causa dano.
Utiliza turnos adicionais para cada unidade com sangramento.
Concentra-se em unidades com sangramento."
ENEMY_TENTICKLES_NAME,Ten Tickles,,Ten Tickles,Tentaccule,Zehntakel,Solletitentacolo,Dez Cócegas
ENEMY_TENTICKLES_DESC,"Can attack any tile adjacent to water.
Teleports through water tiles.",,"Може атакувати будь-яку клітинку, суміжну з водою.
Телепортується через водні клітинки.","Peut attaquer toute case adjacente à de l'eau.
Se téléporte à travers les cases d'eau.","Kann jedes Feld angreifen, das an Wasser angrenzt.
Teleportiert sich durch Wasserfelder.","Può attaccare qualunque casella adiacente all'acqua.
Si teletrasporta tra le caselle d'acqua.","Pode atacar qualquer espaço adjacente à agua.
Teletransporta-se através de espaços de água."
ENEMY_FETUS_NAME,Fetus,,Fetus,Fœtus,Fötus,Feto,Feto
ENEMY_FETUS_DESC,"Ranged attacker.
Can drink water to heal.",,"Дальній атакувальний юніт.
Може пити воду, щоб відновити здоров'я.","Attaque à distance.
Peut boire de l'eau pour se soigner.","Fernkämpfer.
Kann Wasser trinken, um sich zu heilen.","Specialista degli attacchi a distanza.
Può curarsi bevendo acqua.",Agressor à distância...
ENEMY_FETUSGUSHER_NAME,Fetus Gusher,,Fetus Gusher,Fœtus cracheur,Fötusspritzer,Feto Zampillante,Feto Jorrador
ENEMY_FETUSGUSHER_DESC,"Its water attack pushes all units in a straight line.
Must be in water to attack. Seeks water when out of water.",,"Його водяна атака штовхає юнітів по прямій лінії.
Мусить бути у воді, щоб атакувати. Якщо він поза водою, шукає воду.","Son attaque d'eau pousse toutes les unités en ligne droite.
Doit être dans l'eau pour attaquer. Recherche de l'eau quand il en manque.","Sein Wasserangriff stößt alle Einheiten in einer geraden Linie zurück.
Muss sich im Wasser aufhalten, um angreifen zu können. Sucht das Wasser auf, wenn er sich an Land befindet.","Il suo attacco acquatico respinge tutte le unità in linea retta.
Per poter attaccare deve trovarsi in acqua. Quando è al di fuori di essa, cerca di raggiungerla.","Seu ataque aquático pune todas as unidades em uma linha reta.
Precisa estar na água para atacar. Busca água quando está fora dela."
ENEMY_BAT_NAME,Bat,,Bat,Chauve-souris,Fledermaus,Pipistrello,Morcego
ENEMY_BAT_DESC,"Its melee flurry inflicts Confusion.
50% Dodge Chance.
Flying.",,"Його серія ближніх атак накладає Сплутаність.
50% шанс ухилитися.
Літає.","Son déluge de coups au corps-à-corps inflige Confusion.
Chances d'esquive +50&nbsp;%.
Vol.","Ihr Nahkampfangriff verursacht Verwirrung.
50&nbsp;% Ausweichchance.
Fliegt.","La sua raffica corpo a corpo infligge Confusione.
Ha un 50% di probabilità di schivare.
Vola.","Seu ataque corpo-a-corpo de rajada aplica confusão.
50% de chance de esquiva.
Voador."
ENEMY_BRAINDRAIN_NAME,Brain Drain,,Brain Drain,Groservo,Hirnsauger,Drenacervello,Dreno de Cérebro
ENEMY_BRAINDRAIN_DESC,"Infinite ranged magic attacker.
Will counter a spell once per turn.
If it starts its turn with its counterspell still available, it absorbs it for a buff.",,"Нескінченний дальній магічний юніт.
Раз за хід контратакує закляття.
Якщо він починає свій хід із доступним контрзакляттям, він поглинає його та отримує посилення.","Attaquant magique à distance aux attaques infinies.
Contre un sort une fois par tour.
S'il commence son tour avec son contre-sort encore disponible, il l'absorbe pour obtenir un bonus.","Magischer Fernkämpfer mit unendlicher Reichweite.
Kontert einen Zauber pro Zug.
Ist sein Zauberkonter am Anfang des Zuges noch verfügbar, absorbiert er ihn und wird gestärkt.","Specialista degli attacchi magici a raggio d'azione infinito.
Contrattacca un incantesimo per ogni turno.
Se comincia il turno con il suo contrattacco per incantesimi ancora disponibile, lo converte in un bonus.","Agressor à distância mágico e infinito.
Contra-ataca um encantamento por turno.
Ao iniciar seu turno com um contra-feitiço ainda disponível, o absorve para obter um fortalecimento."
ENEMY_SKULLOOZE_NAME,Skull Ooze,,Skull Ooze,Crâne gluant,Totenkopfschleim,Fluido Cranico,Vazamento de Crânio
ENEMY_SKULLOOZE_DESC,Its ranged attack destroys equipment.,,Його дальня атака руйнує спорядження.,Son attaque à distance détruit l'équipement.,Sein Fernkampfangriff zerstört Ausrüstungsstücke.,Il suo attacco a distanza distrugge gli equipaggiamenti.,Seu ataque à distância destrói equipamentos. 
ENEMY_KORBEE_NAME,Korbee,,Korbee,Aspiratout,Korbie,Korbee,Korbee
ENEMY_KORBEE_DESC,"Will suck units in, then spit them out as far away as it can.","tooltip said ""random direction"" this wasnt correct, neither is ""different direction"", it spits them whichever direction has the longest path before a collision. unsure how specific the tooltip needs to be","Всмоктує юнітів, а потім викидає їх якомога далі.","Aspire les unités en ligne droite, puis les recrache aussi loin que possible.","Saugt Einheiten an und spuckt sie so weit weg aus, wie möglich.","Risucchia le unità, poi le sputa il più lontano possibile.",Suga unidades e então as cospe tão longe quanto possível.
ENEMY_MEGAFETUS_NAME,Mega Fetus,,Mega Fetus,Mégafœtus,Megafötus,Mega Feto,Mega Feto
ENEMY_MEGAFETUS_DESC,"Performs a spin attack.
Will try to counterattack with its left arm when hit.",,"Виконує обертальну атаку.
При ударі намагатиметься контратакувати лівою рукою.","Effectue une attaque tournoyante.
Tente de contre-attaquer avec son bras gauche quand on le touche.","Wirbelangriff.
Kontert mit seinem linken Arm, wenn er getroffen wird.","Esegue un attacco rotante.
Quando viene colpito, cerca di contrattaccare usando il suo braccio sinistro.","Realiza um ataque giratório.
Tenta contra-atacar com seu braço esquerdo ao sofrer golpes."
ENEMY_TATTERS_NAME,Tatters,,Tatters,Guenille,Lumpi,Laceratore,Tateador
ENEMY_TATTERS_DESC,"Its attack inflicts Leech to all units in an area.
Will inflict Hex on units that damage it.
Undead.",,"Його атака накладає Висмоктування життя на всіх юнітів у зоні.
Накладає Прокляття на юнітів, які завдають йому шкоди.
Нежить.","Son attaque inflige Sangsue à toutes les unités dans une zone donnée.
Inflige Magie vorace aux unités qui le blessent.
Mort-vivant.","Seine Angriffe verursachen Blutegel bei allen Einheiten in einem bestimmten Bereich.
Verhext Einheiten, die ihm Schaden zufügen.
Untot.","Il suo attacco infligge Sanguisuga a tutte le unità all'interno di un'area.
Infligge Maledizione a tutte le unità da cui subisce danno.
Non morto.","Seu ataque aplica sanguessuga em todas as unidades em uma área.
Aplica bruxaria em unidades que atacam.
Morto-vivo."
ENEMY_SPOOKIE_NAME,Spookie,,Spookie,Trouille,Spuki,Spauracchio,Sustinho
ENEMY_SPOOKIE_DESC,"Its melee attack drains mana.
Undead.",,"Його ближня атака висмоктує ману.
Нежить.","Son attaque au corps-à-corps draine le mana.
Mort-vivant.","Sein Nahkampfangriff saugt Mana ab.
Undead.","Il suo attacco corpo a corpo assorbe mana.
Non morto.","Seu ataque corpo-a-corpo drena mana.
Morto-vivo."
ENEMY_SCARY_NAME,Scary,,Scary,Frayeur,Grusli,Spavento,Assusto
ENEMY_SCARY_DESC,"Its melee attacks can inflict Fear or Doom!
Undead.",,"Його ближні атаки можуть накласти Страх або Гібель!
Нежить.","Ses attaques au corps-à-corps peuvent infliger Peur ou Damnation.
Mort-vivant.","Seine Nahkampfangriffe können Angst oder Todesurteil verursachen!
Untot.","Il suo attacco corpo a corpo può infliggere Paura o Sciagura!
Non morto.","Seu ataque corpo-a-corpo aplica medo ou ruína.
Morto-vivo."
ENEMY_REAPER_NAME,Reaper,,Reaper,Faucheur,Schnitter,Mietitore,Ceifador
ENEMY_REAPER_DESC,"Performs a spin attack at the start of its turn.
Teleports to units that kill its allies.
Undead.",,"Виконує обертальну атаку на початку свого ходу.
Телепортується до юнітів, які вбили його союзників.
Нежить.","Effectue une attaque tournoyante au début de son tour.
Se téléporte vers les unités qui tuent ses alliés.
Mort-vivant.","Führt am Anfang seines Zuges einen Wirbelangriff aus.
Teleportiert zu Einheiten, die seine Verbündeten töten.
Untot.","Esegue un attacco rotante all'inizio del suo turno.
Si teletrasporta vicino alle unità che uccidono i suoi alleati.
Non morto.","Realiza um ataque giratório no início de seu turno.
Teletransporta-se para unidades que matam seus aliados.
Morto-vivo."
ENEMY_TALLROBES_NAME,Robes,,Robes,Toge,Mantelchen,Tunichello,Robes
