KEY,en,notes,sp,fr,de,it,pt-br
FURNITURE_DESC_SET_SPIDER_TOILET,,,,,,,
FURNITURE_NAME_SET_SPIDER_SHELF,Spider Shelf,,Павуча полиця,Étagère araignée,Spinnenregal,Mensola aracnide,Estante de aranha
FURNITURE_DESC_SET_SPIDER_SHELF,,,,,,,
FURNITURE_NAME_SET_SPIDER_BED,Spider Bed,,Павуче лiжко,Lit araignée,Spinnenbett,Letto aracnide,Cama de aranha
FURNITURE_DESC_SET_SPIDER_BED,,,,,,,
FURNITURE_NAME_SET_SPIDER_SIDETABLE,Spider Side Table,,Павуча тумбочка,Table d'appoint araignée,Spinnenbeistelltisch,Tavolino aracnide,Mesa lateral de aranha
FURNITURE_DESC_SET_SPIDER_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_JUNK_SIDETABLE,Junk Side Table,,Хламна тумбочка,Table d'appoint au rabais,Müllbeistelltisch,Tavolino di ciarpame,Mesa lateral de lixo
FURNITURE_DESC_SET_JUNK_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_JUNK_CHAIR,Junk Chair,,Хламне крiсло,Chaise au rabais,Müllstuhl,Sedia di ciarpame,Cadeira de lixo
FURNITURE_DESC_SET_JUNK_CHAIR,,,,,,,
FURNITURE_NAME_SET_JUNK_SHELF,Junk Shelf,,Хламна полиця,Étagère au rabais,Müllregal,Scaffale di ciarpame,Estante de lixo
FURNITURE_DESC_SET_JUNK_SHELF,,,,,,,
FURNITURE_NAME_SET_JUNK_BED,Junk Bed,,Хламне лiжко,Lit au rabais,Müllbett,Letto di ciarpame,Cama de lixo
FURNITURE_DESC_SET_JUNK_BED,,,,,,,
FURNITURE_NAME_SET_JUNK_CABINET,Junk Cabinet,,Хламна шафа,Placard au rabais,Müllschrank,Armadietto di ciarpame,Armário de lixo
FURNITURE_DESC_SET_JUNK_CABINET,,,,,,,
FURNITURE_NAME_SET_JUNK_TV,Junk TV,,Хламний телевiзор,TV au rabais,Müllfernseher,TV di ciarpame,TV de lixo
FURNITURE_DESC_SET_JUNK_TV,,,,,,,
FURNITURE_NAME_SET_JUNK_SUSPENDEDSHELF,Suspended Junk Shelf,,Пiдвiсна полиця з хламу,Étagère suspendue au rabais,Müllhängeregal,Mensola sospesa di ciarpame,Prateleira de lixo
FURNITURE_DESC_SET_JUNK_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_JUNK_LAMP,Junk Lamp,,Хламна лампа,Lampe au rabais,Mülllampe,Lampada di ciarpame,Luminária de lixo
FURNITURE_DESC_SET_JUNK_LAMP,,,,,,,
FURNITURE_NAME_SET_JUNK_DRESSER,Junk Dresser,,Хламний комод,Commode au rabais,Müllkleiderschrank,Comò di ciarpame,Cômoda de lixo
FURNITURE_DESC_SET_JUNK_DRESSER,,,,,,,
FURNITURE_NAME_SET_JUNK_TOILET,Junk Toilet,,Хламний унiтаз,Toilettes au rabais,Mülltoilette,WC di ciarpame,Privada de lixo
FURNITURE_DESC_SET_JUNK_TOILET,,,,,,,
FURNITURE_NAME_SET_SEWN_DRESSER,Sewn Dresser,,Зшитий комод,Commode cousue,Stoffkleiderschrank,Comò rammendato,Cômoda costurada
FURNITURE_DESC_SET_SEWN_DRESSER,,,,,,,
FURNITURE_NAME_SET_SEWN_SIDETABLE,Sewn Side Table,,Зшита тумбочка,Table d'appoint cousue,Stoffbeistelltisch,Tavolino rammendato,Mesa lateral costurada
FURNITURE_DESC_SET_SEWN_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_SEWN_TABLE,Sewn Table,,Зшитий стiл,Table cousue,Stofftisch,Tavolo rammendato,Mesa costurada
FURNITURE_DESC_SET_SEWN_TABLE,,,,,,,
FURNITURE_NAME_SET_SEWN_COUCH,Sewn Couch,,Зшитий диван,Canapé cousu,Stoffsofa,Divano rammendato,Sofá costurado
FURNITURE_DESC_SET_SEWN_COUCH,,,,,,,
FURNITURE_NAME_SET_SEWN_CHAIR,Sewn Chair,,Зшите крiсло,Chaise cousue,Stoffstuhl,Sedia rammendata,Cadeira costurada
FURNITURE_DESC_SET_SEWN_CHAIR,,,,,,,
FURNITURE_NAME_SET_SEWN_STOOL1,Sewn Stool A,,Зшитий табурет A,Tabouret cousu A,Stoffhocker A,Sgabello rammendato A,Banqueta costurada A
FURNITURE_DESC_SET_SEWN_STOOL1,,,,,,,
FURNITURE_NAME_SET_SEWN_TOILET,Sewn Toilet,,Зшитий туалет,Toilettes cousues,Stofftoilette,WC rammendato,Privada costurada
FURNITURE_DESC_SET_SEWN_TOILET,,,,,,,
FURNITURE_NAME_SET_SEWN_TV,Sewn TV,,Зшитий телевiзор,TV cousue,Stofffernseher,TV rammendata,TV costurada
FURNITURE_DESC_SET_SEWN_TV,,,,,,,
FURNITURE_NAME_SET_SEWN_DOLL,Sewn Doll,,Зшита лялька,Poupée cousue,Stoffpuppe,Bambolotto rammendato,Boneca costurada
FURNITURE_DESC_SET_SEWN_DOLL,,,,,,,
FURNITURE_NAME_SET_SEWN_STOOL2,Sewn Stool B,,Зшитий табурет B,Tabouret cousu B,Stoffhocker B,Sgabello rammendato B,Banqueta costurada B
FURNITURE_DESC_SET_SEWN_STOOL2,,,,,,,
FURNITURE_NAME_SET_CAT_SHELF,Cat Shelf,,Котяча полиця,Étagère chat,Katzenregal,Scaffale a forma di gatto,Estante de gato
FURNITURE_DESC_SET_CAT_SHELF,,,,,,,
FURNITURE_NAME_SET_CAT_COUCH,Cat Couch,,Котячий диван,Canapé chat,Katzensofa,Divano a forma di gatto,Sofá de gato
FURNITURE_DESC_SET_CAT_COUCH,,,,,,,
FURNITURE_NAME_SET_CAT_CHAIR,Cat Chair,,Котяче крiсло,Chaise chat,Katzenstuhl,Sedia a forma di gatto,Cadeira de gato
FURNITURE_DESC_SET_CAT_CHAIR,,,,,,,
FURNITURE_NAME_SET_CAT_BED,Cat Bed,,Котяче лiжко,Lit chat,Katzenbett,Letto a forma di gatto,Cama de gato
FURNITURE_DESC_SET_CAT_BED,,,,,,,
FURNITURE_NAME_SET_CAT_TABLE,Cat Table A,,Котячий стiл A,Table&nbsp;chat A,Katzentisch A,Tavolo a forma di gatto A,Mesa de gato A
FURNITURE_DESC_SET_CAT_TABLE,,,,,,,
FURNITURE_NAME_SET_CAT_TV,Cat TV,,Котячий телевiзор,TV chat,Katzenfernseher,TV a forma di gatto,TV de gato
FURNITURE_DESC_SET_CAT_TV,,,,,,,
FURNITURE_NAME_SET_CAT_BENCH,Cat Bench,,Котяча лава,Banc chat,Katzenbank,Panca a forma di gatto,Banco de gato
FURNITURE_DESC_SET_CAT_BENCH,,,,,,,
FURNITURE_NAME_SET_CAT_DRESSER,Cat Dresser,,Котячий комод,Commode chat,Katzenkleiderschrank,Comò a forma di gatto,Cômoda de gato
FURNITURE_DESC_SET_CAT_DRESSER,,,,,,,
FURNITURE_NAME_SET_CAT_SUSPENDED_SHELF,Suspended Cat Shelf,,Пiдвiсна котяча полиця,Étagère suspendue chat,Katzenhängeregal,Mensola sospesa a forma di gatto,Prateleira de gato
FURNITURE_DESC_SET_CAT_SUSPENDED_SHELF,,,,,,,
FURNITURE_NAME_SET_CAT_TABLE2,Cat Table B,,Котячий стiл B,Table&nbsp;B chat,Katzentisch B,Tavolo a forma di gatto B,Mesa de gato B
FURNITURE_DESC_SET_CAT_TABLE2,,,,,,,
FURNITURE_NAME_SET_WOODEN_SHELF,Wooden Shelf A,,Дерев'яна полиця A,Étagère en bois A,Holzregal A,Scaffale di legno A,Estante de madeira A
FURNITURE_DESC_SET_WOODEN_SHELF,,,,,,,
FURNITURE_NAME_SET_WOODEN_DRESSER,Wooden Dresser,,Дерев'яний комод,Commode en bois,Holzkleiderschrank,Comò di legno,Cômoda de madeira
FURNITURE_DESC_SET_WOODEN_DRESSER,,,,,,,
FURNITURE_NAME_SET_WOODEN_CHAIR,Wooden Chair,,Дерев'яне крiсло,Chaise en bois,Holzstuhl,Sedia di legno,Cadeira de madeira
FURNITURE_DESC_SET_WOODEN_CHAIR,,,,,,,
FURNITURE_NAME_SET_WOODEN_TOILET,Wooden Toilet,,Дерев'яний туалет,Toilettes en bois,Holztoilette,WC di legno,Privada de madeira
FURNITURE_DESC_SET_WOODEN_TOILET,,,,,,,
FURNITURE_NAME_SET_WOODEN_TABLE,Wooden Table,,Дерев'яний стiл,Table en bois,Holztisch,Tavolo di legno,Mesa de madeira
FURNITURE_DESC_SET_WOODEN_TABLE,,,,,,,
FURNITURE_NAME_SET_WOODEN_SINK,Wooden Sink,,Дерев'яна раковина,Évier en bois,Holzwaschbecken,Lavandino di legno,Pia de madeira
FURNITURE_DESC_SET_WOODEN_SINK,,,,,,,
FURNITURE_NAME_SET_WOODEN_LAMP,Wooden Lamp,,Дерев'яна лампа,Lampe en bois,Holzlampe,Lampada di legno,Luminária de madeira
FURNITURE_DESC_SET_WOODEN_LAMP,,,,,,,
FURNITURE_NAME_SET_WOODEN_TV,Wooden TV,,Дерев'яний телевiзор,TV en bois,Holzfernseher,TV di legno,TV de madeira
FURNITURE_DESC_SET_WOODEN_TV,,,,,,,
FURNITURE_NAME_SET_WOODEN_SUSPENDEDSHELF,Suspended Wooden Shelf,,Пiдвiсна дерев'яна полиця,Étagère suspendue en bois,Holzhängeregal,Mensola sospesa di legno,Prateleira de madeira
FURNITURE_DESC_SET_WOODEN_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_WOODEN_SHELF2,Wooden Shelf B,,Дерев'яна полиця B,Étagère en bois B,Holzregal B,Mensola di legno B,Estante de madeira B
FURNITURE_DESC_SET_WOODEN_SHELF2,,,,,,,
FURNITURE_NAME_SET_SEWER_SINK,Sewer Sink,,Каналiзацiйна раковина,Évier d'égout,Abwasserwaschbecken,Lavandino di fogna,Pia de esgoto
FURNITURE_DESC_SET_SEWER_SINK,,,,,,,
FURNITURE_NAME_SET_SEWER_SHELF,Sewer Shelf,,Каналiзацiйна полиця,Étagère d'égout,Abwasserregal,Scaffale di fogna,Estante de esgoto
FURNITURE_DESC_SET_SEWER_SHELF,,,,,,,
FURNITURE_NAME_SET_SEWER_TABLE,Sewer Table,,Каналiзацiйний стiл,Table d'égout,Abwassertisch,Tavolo di fogna,Mesa de esgoto
FURNITURE_DESC_SET_SEWER_TABLE,,,,,,,
FURNITURE_NAME_SET_SEWER_DRESSER,Sewer Dresser,,Каналiзацiйний комод,Commode d'égout,Abwasserkleiderschrank,Comò di fogna,Cômoda de esgoto
FURNITURE_DESC_SET_SEWER_DRESSER,,,,,,,
FURNITURE_NAME_SET_SEWER_CHAIR,Sewer Chair,,Каналiзацiйний стiлець,Chaise d'égout,Abwasserstuhl,Sedia di fogna,Cadeira de esgoto
FURNITURE_DESC_SET_SEWER_CHAIR,,,,,,,
FURNITURE_NAME_SET_SEWER_SUSPENDEDSHELF,Suspended Sewer Shelf,,Пiдвiсна каналiзацiйна полиця,Étagère suspendue d'égout,Abwasserhängeregal,Mensola sospesa di fogna,Prateleira de esgoto
FURNITURE_DESC_SET_SEWER_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_SEWER_TV,Sewer TV,,Каналiзацiйний телевiзор,TV d'égout,Abwasserfernseher,TV di fogna,TV de esgoto
FURNITURE_DESC_SET_SEWER_TV,,,,,,,
FURNITURE_NAME_SET_SEWER_SMALL_TABLE,Sewer Small Table,,Маленький каналiзацiйний столик,Petite table d'égout,Kleiner Abwassertisch,Tavolino di fogna,Mesa pequena de esgoto
FURNITURE_DESC_SET_SEWER_SMALL_TABLE,,,,,,,
FURNITURE_NAME_SET_SEWER_STOOL,Sewer Stool,,Каналiзацiйний табурет,Tabouret d'égout,Abwasserhocker,Sgabello di fogna,Banqueta de esgoto
FURNITURE_DESC_SET_SEWER_STOOL,,,,,,,
FURNITURE_NAME_SET_SEWER_LAMP,Sewer Lamp,,Каналiзацiйна лампа,Lampe d'égout,Abwasserlampe,Lampada di fogna,Luminária de esgoto
FURNITURE_DESC_SET_SEWER_LAMP,,,,,,,
FURNITURE_NAME_SET_BONE_SHELF,Bone Shelf,,Кiстяна полиця,Étagère en os,Knochenregal,Mensola d'osso,Estante de osso
FURNITURE_DESC_SET_BONE_SHELF,,,,,,,
FURNITURE_NAME_SET_BONE_SINK,Bone Sink,,Кiстяна раковина,Évier en os,Knochenwaschbecken,Lavandino d'osso,Pia de osso
FURNITURE_DESC_SET_BONE_SINK,,,,,,,
FURNITURE_NAME_SET_BONE_SIDETABLE,Bone Side Table,,Кiстяний боковий столик,Table d'appoint en os,Knochenbeistelltisch,Tavolino d'osso,Mesa lateral de osso
FURNITURE_DESC_SET_BONE_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_BONE_TABLE,Bone Table,,Кiстяний стiл,Table en os,Knochentisch,Tavolo d'osso,Mesa de osso
FURNITURE_DESC_SET_BONE_TABLE,,,,,,,
FURNITURE_NAME_SET_BONE_COUCH,Bone Couch,,Кiстяний диван,Canapé en os,Knochensofa,Divano d'osso,Sofá de osso
FURNITURE_DESC_SET_BONE_COUCH,,,,,,,
FURNITURE_NAME_SET_BONE_TV,Bone TV,,Кiстяний телевiзор,TV en os,Knochenfernseher,TV d'osso,TV de osso
FURNITURE_DESC_SET_BONE_TV,,,,,,,
FURNITURE_NAME_SET_BONE_CHANDELIER,Bone Chandelier,,Кiстяна люстра,Chandelier en os,Knochenkronleuchter,Lampadario d'osso,Lustre de osso
FURNITURE_DESC_SET_BONE_CHANDELIER,,,,,,,
FURNITURE_NAME_SET_BONE_LAMP,Bone Lamp,,Кiстяна лампа,Lampe en os,Knochenlampe,Lampada d'osso,Luminária de osso
FURNITURE_DESC_SET_BONE_LAMP,,,,,,,
FURNITURE_NAME_SET_BONE_CHAIR,Bone Chair,,Кiстяний стiлець,Chaise en os,Knochenstuhl,Sedia d'osso,Cadeira de osso
FURNITURE_DESC_SET_BONE_CHAIR,,,,,,,
FURNITURE_NAME_SET_BONE_PILE,Bone Pile,,Купа кiсток,Pile d'os,Knochenhaufen,Pila d'osso,Pilha de ossos
FURNITURE_DESC_SET_BONE_PILE,,,,,,,
FURNITURE_NAME_SET_ROBO_SHELF,Robo Shelf,,Робо-полиця,Étagère robo,Roboregal,Robo-scaffale,Estante robô
FURNITURE_DESC_SET_ROBO_SHELF,,,,,,,
FURNITURE_NAME_SET_ROBO_SINK,Robo Sink,,Робо-раковина,Évier robo,Robowaschbecken,Robo-lavandino,Pia robô
FURNITURE_DESC_SET_ROBO_SINK,,,,,,,
FURNITURE_NAME_SET_ROBO_DESK,Robo Desk,,Робо-письмовий стiл,Bureau robo,Roboschreibtisch,Robo-scrivania,Escrivaninha robô
FURNITURE_DESC_SET_ROBO_DESK,,,,,,,
FURNITURE_NAME_SET_ROBO_TABLE,Robo Table,,Робо-стiл,Table robo,Robotisch,Robo-tavolo,Mesa robô
FURNITURE_DESC_SET_ROBO_TABLE,,,,,,,
FURNITURE_NAME_SET_ROBO_DRESSER,Robo Dresser,,Робо-комод,Commande robo,Robokleiderschrank,Robo-comò,Cômoda robô
FURNITURE_DESC_SET_ROBO_DRESSER,,,,,,,
FURNITURE_NAME_SET_ROBO_TV,Robo TV,,Робо-телевiзор,TV robo,Robofernseher,Robo-TV,TV robô
FURNITURE_DESC_SET_ROBO_TV,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOBODY,Robo Body,,Робо-тiло,Corps robo,Robokörper,Robo-corpo,Corpo de robô
FURNITURE_DESC_SET_ROBO_ROBOBODY,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOCHEST,Robo Chest,,Робо-торс,Coffre robo,Robooberkörper,Robo-torace,Torso de robô
FURNITURE_DESC_SET_ROBO_ROBOCHEST,,,,,,,
FURNITURE_NAME_SET_ROBO_ROBOARMS,Robo Arms,,Робо-руки,Bras robo,Roboarme,Robo-braccia,Braços de robô
FURNITURE_DESC_SET_ROBO_ROBOARMS,,,,,,,
FURNITURE_NAME_SET_ROBO_HEAD,Robo Head,,Робо-голова,Tête robo,Robokopf,Robo-testa,Cabeça de robô
FURNITURE_DESC_SET_ROBO_HEAD,,,,,,,
FURNITURE_NAME_SET_GUTS_SHELF,Guts Shelf,,Полиця з нутрощiв,Étagère entrailles,Eingeweideregal,Mensola di viscere,Estante de tripas
FURNITURE_DESC_SET_GUTS_SHELF,,,,,,,
FURNITURE_NAME_SET_GUTS_TABLE,Guts Table,,Стiл з нутрощiв,Table entrailles,Eingeweidetisch,Tavolo di viscere,Mesa de tripas
FURNITURE_DESC_SET_GUTS_TABLE,,,,,,,
FURNITURE_NAME_SET_GUTS_SIDETABLE,Guts Side Table A,,Бiчний столик з нутрощiв A,Table d'appoint entrailles A,Eingeweidebeistelltisch A,Tavolino di viscere A,Mesa lateral de tripas A
FURNITURE_DESC_SET_GUTS_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_GUTS_SINK,Guts Sink,,Раковина з нутрощiв,Évier entrailles,Eingeweidewaschbecken,Lavandino di viscere,Pia de tripas
FURNITURE_DESC_SET_GUTS_SINK,,,,,,,
FURNITURE_NAME_SET_GUTS_SIDETABLE2,Guts Side Table B,,Бiчний столик з нутрощiв B,Table d'appoint entrailles B,Eingeweidebeistelltisch B,Tavolino di viscere B,Mesa lateral de tripas B
FURNITURE_DESC_SET_GUTS_SIDETABLE2,,,,,,,
FURNITURE_NAME_SET_GUTS_TOILET,Guts Toilet,,Guts Унiтаз,Toilettes entrailles,Eingeweidetoilette,WC di viscere,Privada de tripas
FURNITURE_DESC_SET_GUTS_TOILET,,,,,,,
FURNITURE_NAME_SET_GUTS_LAMP,Guts Lamp A,,Guts Лампа A,Lampe entrailles A,Eingeweidelampe A,Lampada di viscere A,Luminária de tripas A
FURNITURE_DESC_SET_GUTS_LAMP,,,,,,,
FURNITURE_NAME_SET_GUTS_LAMP2,Guts Lamp B,,Guts Лампа B,Lampe entrailles B,Eingeweidelampe B,Lampada di viscere B,Luminária de tripas B
FURNITURE_DESC_SET_GUTS_LAMP2,,,,,,,
FURNITURE_NAME_SET_GUTS_SUSPENDEDSHELF,Suspended Guts Shelf,,Пiдвiсна полиця Guts,Étagère suspendue entrailles,Eingeweidehängeregal,Mensola sospesa di viscere,Prateleira de tripas
FURNITURE_DESC_SET_GUTS_SUSPENDEDSHELF,,,,,,,
FURNITURE_NAME_SET_GUTS_TV,Guts TV,,Guts Телевiзор,TV entrailles,Eingeweidefernseher,TV di viscere,TV de tripas
FURNITURE_DESC_SET_GUTS_TV,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_TOILET,Crystal Toilet,,Кришталевий унiтаз,Toilettes cristal,Kristalltoilette,WC di cristallo,Privada de cristal
FURNITURE_DESC_SET_CRYSTAL_TOILET,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_DRESSER,Crystal Dresser A,,Кришталевий комод A,Commode cristal A,Kristallkleiderschrank A,Comò di cristallo A,Cômoda de cristal A
FURNITURE_DESC_SET_CRYSTAL_DRESSER,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_LAMP,Crystal Lamp,,Кришталева лампа,Lampe cristal,Kristalllampe,Lampada di cristallo,Luminária de cristal
FURNITURE_DESC_SET_CRYSTAL_LAMP,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_TABLE,Crystal Table,,Кришталевий стiл,Table cristal,Kristalltisch,Tavolo di cristallo,Mesa de cristal
FURNITURE_DESC_SET_CRYSTAL_TABLE,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_CHANDELIER,Crystal Chandelier,,Кришталева люстра,Chandelier cristal,Kristallkronleuchter,Lampadario di cristallo,Lustre de cristal
FURNITURE_DESC_SET_CRYSTAL_CHANDELIER,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_DRESSER2,Crystal Dresser B,,Кришталевий комод B,Commode&nbsp;cristal B,Kristallkleiderschrank B,Comò di cristallo B,Cômoda de cristal B
FURNITURE_DESC_SET_CRYSTAL_DRESSER2,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_SIDETABLE,Crystal Side Table,,Кришталевий боковий столик,Table d'appoint cristal,Kristallbeistelltisch,Tavolino di cristallo,Mesa lateral de cristal
FURNITURE_DESC_SET_CRYSTAL_SIDETABLE,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_COUCH,Crystal Couch,,Кришталевий диван,Canapé cristal,Kristallsofa,Divano di cristallo,Sofá de cristal
FURNITURE_DESC_SET_CRYSTAL_COUCH,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_CHAIR,Crystal Chair,,Кришталеве крiсло,Chaise cristal,Kristallstuhl,Sedia di cristallo,Cadeira de cristal
FURNITURE_DESC_SET_CRYSTAL_CHAIR,,,,,,,
FURNITURE_NAME_SET_CRYSTAL_SHELF,Crystal Shelf,,Кришталева полиця,Étagère cristal,Kristallregal,Mensola di cristallo,Estante de cristal
FURNITURE_DESC_SET_CRYSTAL_SHELF,,,,,,,
FURNITURE_NAME_SET_BLOCK_L,"""L"" Block",,"\""L\"" Блок",Bloc «&nbsp;L&nbsp;»,„L“-Block,"Blocco ""L""","Bloco ""L"""
FURNITURE_DESC_SET_BLOCK_L,,,,,,,
FURNITURE_NAME_SET_BLOCK_T,"""T"" Block",,"\""T\"" Блок",Bloc «&nbsp;T&nbsp;»,„T“-Block,"Blocco ""T""","Bloco ""T"""
FURNITURE_DESC_SET_BLOCK_T,,,,,,,
FURNITURE_NAME_SET_BLOCK_SQUARE,"""O"" Block",,"\""O\"" Блок",Bloc «&nbsp;O&nbsp;»,„O“-Block,"Blocco ""O""","Bloco ""O"""
FURNITURE_DESC_SET_BLOCK_SQUARE,,,,,,,
FURNITURE_NAME_SET_BLOCK_7,"Flipped ""L"" Block",,"Перевернутий \""L\"" Блок",Bloc «&nbsp;L&nbsp;» renversé,Gespiegelter „L“-Block,"Blocco ""L"" capovolto","Bloco ""L"" invertido"
FURNITURE_DESC_SET_BLOCK_7,,,,,,,
FURNITURE_NAME_SET_BLOCK_SQUARE2,"""O""Block",,"\""O\""Блок",Bloc «&nbsp;O&nbsp;»,„O“-Block,"Blocco ""O""","Bloco ""O"""
FURNITURE_DESC_SET_BLOCK_SQUARE2,,,,,,,
FURNITURE_NAME_SET_BLOCK_LAYINGL,"Laying ""L"" Block",,"Лежачий ""L"" блок",Bloc «&nbsp;L&nbsp;» couché,Liegender „L“-Block,"Blocco ""L"" orizzontale","Bloco ""L"" deitado"
FURNITURE_DESC_SET_BLOCK_LAYINGL,,,,,,,
FURNITURE_NAME_SET_BLOCK_I,"""I"" Block",,"""I"" блок",Bloc «&nbsp;I&nbsp;»,„I“-Block,"Blocco ""I""","Bloco ""I"""
FURNITURE_DESC_SET_BLOCK_I,,,,,,,
